sample,assay,quadrant
#20190611_1552_icab_hni_R,novel_object,q2
#20190612_0952_icab_icab_R,novel_object,q2
#20190612_1236_icab_kaga_R,open_field,q1
#20190612_1326_icab_kaga_R,novel_object,q2
#20190612_1501_icab_icab_R,novel_object,q1
#20190612_1636_icab_icab_R,novel_object,q4
#20190613_1054_icab_hdr_R,open_field,q1
#20190614_1307_icab_hdr_R,open_field,q4
#20190614_1430_icab_hdr_L,novel_object,q2
#20190615_1117_icab_kaga_L,novel_object,q2
#20190615_1358_icab_icab_L,novel_object,q1
#20190615_1358_icab_icab_L,novel_object,q2
#20190615_1452_icab_hdr_L,open_field,q2
#20190615_1518_icab_kaga_L,open_field,q2
#20190615_1518_icab_kaga_L,novel_object,q2
#20190615_1649_icab_icab_L,novel_object,q2
#20190615_1714_icab_icab_L,novel_object,q2
#20190615_1714_icab_icab_L,novel_object,q3
#20190616_0923_icab_icab_L,novel_object,q2
#20190616_0948_icab_hdr_L,novel_object,q3
#20190616_0948_icab_hdr_L,novel_object,q4
#20190616_1351_icab_ho5_L,novel_object,q4
#20190616_1556_icab_hdr_L,novel_object,q1
#20190616_1651_icab_icab_L,novel_object,q2
#20190616_1717_icab_icab_L,novel_object,q2
# These videos have no fish in them
20190616_1227_icab_kaga_R,open_field,q3
20190616_1227_icab_kaga_R,novel_object,q3
