sample,assay,total_seconds,success_count,frame_count,prop_success
20190616_1045_icab_icab_L_q3,open_field,600,4489,18000,0.24938888888888888
20190616_0948_icab_hdr_L_q1,open_field,600,4944,18000,0.27466666666666667
20190615_1649_icab_icab_L_q3,open_field,600,7027,18000,0.3903888888888889
20190615_1305_icab_ho5_R_q1,open_field,600,7229,18000,0.4016111111111111
20190614_1237_icab_hdr_L_q3,open_field,600,7494,18000,0.41633333333333333
20190616_1531_icab_hdr_L_q2,open_field,600,9429,18000,0.5238333333333334
20190613_0953_icab_hni_R_q1,open_field,600,9575,18000,0.5319444444444444
20190616_1531_icab_hdr_L_q3,open_field,600,10767,18000,0.5981666666666666
20190614_1237_icab_hdr_L_q1,open_field,600,10891,18000,0.6050555555555556
20190615_1022_icab_ho5_L_q3,open_field,600,11960,18000,0.6644444444444444
20190616_1531_icab_hdr_L_q4,novel_object,600,12707,18000,0.7059444444444445
20190614_1456_icab_ho5_R_q1,open_field,600,12794,18000,0.7107777777777777
20190612_1636_icab_icab_R_q4,open_field,600,12801,18000,0.7111666666666666
20190616_1045_icab_icab_L_q2,open_field,600,13038,18000,0.7243333333333334
20190616_0948_icab_hdr_L_q3,open_field,600,13070,18000,0.7261111111111112
20190613_1338_icab_ho5_R_q1,open_field,600,13153,18000,0.7307222222222223
20190616_1717_icab_icab_L_q1,open_field,600,13371,18000,0.7428333333333333
20190615_1649_icab_icab_L_q2,open_field,600,13744,18000,0.7635555555555555
20190616_1556_icab_hdr_L_q4,open_field,600,13985,18000,0.7769444444444444
20190615_1051_icab_hdr_L_q3,open_field,600,14048,18000,0.7804444444444445
20190615_1518_icab_kaga_L_q3,open_field,600,14118,18000,0.7843333333333333
20190615_1452_icab_hdr_L_q4,open_field,600,14198,18000,0.7887777777777778
20190612_1707_icab_hni_R_q1,open_field,600,14264,18000,0.7924444444444444
20190615_1236_icab_hdr_R_q1,open_field,600,14673,18000,0.8151666666666667
20190615_1452_icab_hdr_L_q3,open_field,600,14691,18000,0.8161666666666667
20190613_1307_icab_hdr_R_q3,open_field,600,15033,18000,0.8351666666666666
20190614_1237_icab_hdr_L_q4,open_field,600,15067,18000,0.8370555555555556
20190616_1556_icab_hdr_L_q1,open_field,600,15116,18000,0.8397777777777777
20190615_1518_icab_kaga_L_q1,open_field,600,15218,18000,0.8454444444444444
20190615_1549_icab_hni_L_q4,novel_object,600,15223,18000,0.8457222222222223
20190616_1110_icab_icab_L_q4,open_field,600,15271,18000,0.8483888888888889
20190616_1351_icab_ho5_L_q4,open_field,600,15292,18000,0.8495555555555555
20190612_1501_icab_icab_R_q1,open_field,600,15356,18000,0.8531111111111112
20190616_0923_icab_icab_L_q4,open_field,600,15388,18000,0.8548888888888889
20190613_1338_icab_ho5_R_q2,open_field,600,15405,18000,0.8558333333333333
20190616_0948_icab_hdr_L_q1,novel_object,600,15472,18000,0.8595555555555555
20190615_1051_icab_hdr_L_q1,open_field,600,15568,18000,0.8648888888888889
20190613_1054_icab_hdr_R_q1,open_field,600,15588,18000,0.866
20190612_1501_icab_icab_R_q4,novel_object,600,15680,18000,0.8711111111111111
20190613_1307_icab_hdr_R_q1,open_field,600,15687,18000,0.8715
20190616_1110_icab_icab_L_q4,novel_object,600,15726,18000,0.8736666666666667
20190613_1338_icab_ho5_R_q1,novel_object,600,15903,18000,0.8835
20190614_1237_icab_hdr_L_q2,open_field,600,15942,18000,0.8856666666666667
20190616_1210_icab_icab_R_q3,novel_object,600,15946,18000,0.8858888888888888
20190612_1053_icab_kaga_R_q3,open_field,600,15985,18000,0.8880555555555556
20190612_1355_icab_ho5_R_q4,novel_object,600,16044,18000,0.8913333333333333
20190612_1534_icab_hdr_R_q2,open_field,600,16127,18000,0.8959444444444444
20190611_1454_icab_hni_R_q4,novel_object,600,16164,18000,0.898
20190616_0948_icab_hdr_L_q2,open_field,600,16171,18000,0.8983888888888889
20190615_1332_icab_icab_L_q4,open_field,600,16219,18000,0.9010555555555556
20190615_1210_icab_ho5_R_q1,novel_object,600,16263,18000,0.9035
20190616_1256_icab_kaga_L_q4,open_field,600,16278,18000,0.9043333333333333
20190615_1145_icab_hni_R_q2,open_field,600,16290,18000,0.905
20190614_1307_icab_hdr_R_q3,open_field,600,16320,18000,0.9066666666666666
20190615_1452_icab_hdr_L_q1,open_field,600,16326,18000,0.907
20190616_1325_icab_hni_R_q1,open_field,600,16369,18000,0.9093888888888889
20190615_1518_icab_kaga_L_q2,open_field,600,16371,18000,0.9095
20190616_1531_icab_hdr_L_q1,novel_object,600,16371,18000,0.9095
20190615_1022_icab_ho5_L_q2,open_field,600,16388,18000,0.9104444444444444
20190612_1326_icab_kaga_R_q3,novel_object,600,15846,17400,0.9106896551724138
20190614_1430_icab_hdr_L_q2,novel_object,600,16463,18000,0.9146111111111112
20190614_1524_icab_icab_R_q4,open_field,600,16548,18000,0.9193333333333333
20190612_1636_icab_icab_R_q2,open_field,600,16555,18000,0.9197222222222222
20190616_1441_icab_hni_L_q3,open_field,600,16576,18000,0.9208888888888889
20190612_1534_icab_hdr_R_q3,novel_object,600,16592,18000,0.9217777777777778
20190613_1546_icab_hni_R_q3,novel_object,600,16636,18000,0.9242222222222222
20190616_1717_icab_icab_L_q3,open_field,600,16681,18000,0.9267222222222222
20190613_1648_icab_ho5_R_q3,novel_object,600,16759,18000,0.9310555555555555
20190616_1256_icab_kaga_L_q3,open_field,600,16789,18000,0.9327222222222222
20190616_1441_icab_hni_L_q4,novel_object,600,16838,18000,0.9354444444444444
20190616_1017_icab_kaga_R_q3,open_field,600,16860,18000,0.9366666666666666
20190613_1126_icab_hdr_R_q2,open_field,600,16876,18000,0.9375555555555556
20190615_1210_icab_ho5_R_q2,open_field,600,16884,18000,0.938
20190614_1644_icab_hni_L_q3,open_field,600,16938,18000,0.941
20190615_1452_icab_hdr_L_q3,novel_object,600,16938,18000,0.941
20190613_1546_icab_hni_R_q1,open_field,600,16944,18000,0.9413333333333334
20190615_1616_icab_hni_L_q4,novel_object,600,17000,18000,0.9444444444444444
20190614_1237_icab_hdr_L_q4,novel_object,600,17060,18000,0.9477777777777778
20190613_1511_icab_hdr_L_q1,open_field,600,17075,18000,0.9486111111111111
20190616_1506_icab_hni_L_q1,open_field,600,17100,18000,0.95
20190615_1051_icab_hdr_L_q2,open_field,600,17109,18000,0.9505
20190616_1256_icab_kaga_L_q3,novel_object,600,17120,18000,0.9511111111111111
20190616_0948_icab_hdr_L_q4,open_field,600,17121,18000,0.9511666666666667
20190613_1617_icab_ho5_L_q2,open_field,600,17140,18000,0.9522222222222222
20190612_1355_icab_ho5_R_q4,open_field,600,17159,18000,0.9532777777777778
20190616_1417_icab_hni_L_q4,open_field,600,17161,18000,0.9533888888888888
20190613_1338_icab_ho5_R_q2,novel_object,600,17194,18000,0.9552222222222222
20190614_1553_icab_hni_L_q3,open_field,600,17194,18000,0.9552222222222222
20190616_0923_icab_icab_L_q1,open_field,600,17222,18000,0.9567777777777777
