# x1,y1,x2,y2
2.920106157112526262e+02,4.844585987261146443e+01,3.065664062500000000e+02,1.258033854166666572e+02
2.923961661341853073e+02,4.841640042598508842e+01,3.060265151515151274e+02,1.256540404040404013e+02
2.924314345991560913e+02,4.841033755274261097e+01,3.057476759628153786e+02,1.260119521912350535e+02
2.921770833333333144e+02,4.842812500000000142e+01,3.057467700258397372e+02,1.267480620155038764e+02
2.923237791932058940e+02,4.839490445859872381e+01,3.052290076335877984e+02,1.269949109414758226e+02
2.919629629629629903e+02,4.779732510288065583e+01,3.051317523056653158e+02,1.280592885375494063e+02
2.923741293532337977e+02,4.787860696517412862e+01,3.047074074074074019e+02,1.283049382716049251e+02
2.923741293532337977e+02,4.787860696517412862e+01,3.046911764705882320e+02,1.283688725490195850e+02
2.926554192229038449e+02,4.789468302658486465e+01,3.036729797979797354e+02,1.296148989898989612e+02
2.928214654282765537e+02,4.791744066047471051e+01,3.029496402877697960e+02,1.295011990407673750e+02
2.925734989648032638e+02,4.768115942028985188e+01,3.025063131313131066e+02,1.301085858585858546e+02
2.930169312169311979e+02,4.777354497354497198e+01,3.021441798941798993e+02,1.305105820105819987e+02
2.929569892473118102e+02,4.767096774193548470e+01,3.016796368352788136e+02,1.305992217898832735e+02
2.930599369085173294e+02,4.770872765509989222e+01,3.009875621890546995e+02,1.309427860696517314e+02
2.929655172413793025e+02,4.770114942528735469e+01,3.002932816537467602e+02,1.311731266149870692e+02
2.930868167202572181e+02,4.752304394426580814e+01,2.998308270676691905e+02,1.310852130325814358e+02
2.933146929824561084e+02,4.744188596491227372e+01,2.995916955017301007e+02,1.308304498269896214e+02
2.932306843267107865e+02,4.744039735099337918e+01,2.995795053003533326e+02,1.306725559481743062e+02
2.932306843267107865e+02,4.744039735099337918e+01,2.986248415716096360e+02,1.314790874524714752e+02
2.932306843267107865e+02,4.744039735099337918e+01,2.978785625774473260e+02,1.311177199504336954e+02
2.936120042872454405e+02,4.708038585209003202e+01,2.966760374832663842e+02,1.311807228915662620e+02
2.938542976939203299e+02,4.706708595387840433e+01,2.959252217997465095e+02,1.311318124207857920e+02
2.937614583333332803e+02,4.705104166666666288e+01,2.954235860409145289e+02,1.304849578820697786e+02
2.937614583333332803e+02,4.705104166666666288e+01,2.946424936386768536e+02,1.303727735368956644e+02
2.934380952380952294e+02,4.707936507936508264e+01,2.935901234567900815e+02,1.303074074074073962e+02
2.943284169124876826e+02,4.688102261553589045e+01,2.923296019900497527e+02,1.302960199004974982e+02
2.948148148148148380e+02,4.694238683127571932e+01,2.911320754716981014e+02,1.300440251572326815e+02
2.950559139784946296e+02,4.681827956989246786e+01,2.904651457541191348e+02,1.298352344740177386e+02
2.952848297213622573e+02,4.673684210526315752e+01,2.892705882352940989e+02,1.296797385620914724e+02
2.954639065817409573e+02,4.676963906581740815e+01,2.881891891891891646e+02,1.296731016731016553e+02
2.950689655172413950e+02,4.661442006269592753e+01,2.862956989247311412e+02,1.294798387096774093e+02
2.951688172043010354e+02,4.660107526881719764e+01,2.852076502732239760e+02,1.282144808743169335e+02
2.957053763440860052e+02,4.667204301075268091e+01,2.838052126200274188e+02,1.273744855967078138e+02
2.958131634819532678e+02,4.635668789808917012e+01,2.818540829986612835e+02,1.267269076305220921e+02
2.960290827740491864e+02,4.650559284116330616e+01,2.798113695090439137e+02,1.261149870801033472e+02
2.965454545454545610e+02,4.679797979797979934e+01,2.773766937669376489e+02,1.248360433604335924e+02
2.962890946502057545e+02,4.686625514403291959e+01,2.766414342629482235e+02,1.243917662682602838e+02
2.963103792415169551e+02,4.653592814371257447e+01,2.748184079601990106e+02,1.236902985074626855e+02
2.961883629191321461e+02,4.654142011834319703e+01,2.736679292929292728e+02,1.232803030303030312e+02
2.970524109014674536e+02,4.666666666666666430e+01,2.719044025157232340e+02,1.225194968553459063e+02
2.980010162601626007e+02,4.719512195121951237e+01,2.696940104166666288e+02,1.214791666666666572e+02
2.980248015873015675e+02,4.745833333333333570e+01,2.681284046692607035e+02,1.207418936446173774e+02
2.980191919191918828e+02,4.748787878787878469e+01,2.668433583959899806e+02,1.203208020050125242e+02
2.987350157728706677e+02,4.779284963196634806e+01,2.658686493184633832e+02,1.198153655514250318e+02
2.989907692307692173e+02,4.796410256410256068e+01,2.646281094527362825e+02,1.191144278606965088e+02
2.989258160237388893e+02,4.790603363006923132e+01,2.635019305019304738e+02,1.183101673101673015e+02
2.987623188405797237e+02,4.814299516908211984e+01,2.621942257217847327e+02,1.177020997375328051e+02
2.992333333333332916e+02,4.856000000000000227e+01,2.613163636363636328e+02,1.172242424242424192e+02
2.995415384615384369e+02,4.876820512820512477e+01,2.602294871794871369e+02,1.164807692307692264e+02
2.991940298507462899e+02,4.890248756218905157e+01,2.594817351598173332e+02,1.160308219178082254e+02
2.992514450867051892e+02,4.985934489402696812e+01,2.581610486891385676e+02,1.152908863920099805e+02
2.998125000000000000e+02,5.097718253968253777e+01,2.573654320987653819e+02,1.145975308641975232e+02
2.998066083576287610e+02,5.135568513119533662e+01,2.560869565217391255e+02,1.136594202898550776e+02
2.999039385206531847e+02,5.144380403458212925e+01,2.549361702127659441e+02,1.129054373522458548e+02
3.001117647058823650e+02,5.213627450980391842e+01,2.537342995169081803e+02,1.120797101449275317e+02
3.001868686868686495e+02,5.282626262626261848e+01,2.523643966547192008e+02,1.115400238948625997e+02
3.003126232741616946e+02,5.355325443786982476e+01,2.516312785388127793e+02,1.114155251141552441e+02
3.003664717348927979e+02,5.400000000000000000e+01,2.506714456391875672e+02,1.106260454002389366e+02
3.006066481994459991e+02,5.442197599261310614e+01,2.492452107279693507e+02,1.097369093231162083e+02
3.006530214424951168e+02,5.470857699805068108e+01,2.476601815823605648e+02,1.090518806744487676e+02
3.008944281524926510e+02,5.579863147605082929e+01,2.467323420074349372e+02,1.086765799256505574e+02
3.009825072886297335e+02,5.653061224489795933e+01,2.456273809523809177e+02,1.082107142857142890e+02
3.011564027370478698e+02,5.787292277614857738e+01,2.449738095238094786e+02,1.078845238095237988e+02
3.009181636726546571e+02,5.889021956087823639e+01,2.432201722017219936e+02,1.069840098400983948e+02
3.005945121951219789e+02,6.022764227642275614e+01,2.419895470383275153e+02,1.063333333333333286e+02
3.003372898120672403e+02,6.194559841740849748e+01,2.399533073929960949e+02,1.051906614785992247e+02
2.998825301204819311e+02,6.307630522088353331e+01,2.387432950191570740e+02,1.048454661558109677e+02
2.994809236947791078e+02,6.377309236947790083e+01,2.383320987654320788e+02,1.045888888888888886e+02
2.993464249748237194e+02,6.502114803625377704e+01,2.374911616161616053e+02,1.041212121212121247e+02
2.989614994934143510e+02,6.596656534954406936e+01,2.364824902723735534e+02,1.035616083009079063e+02
2.985032467532467422e+02,6.654761904761903679e+01,2.353800259403372195e+02,1.031037613488975211e+02
2.981783625730994345e+02,6.799610136452241704e+01,2.348651685393258504e+02,1.027965043695380700e+02
2.980738636363636260e+02,6.889393939393939092e+01,2.336867469879518069e+02,1.023239625167335873e+02
2.974628019323671424e+02,6.983285024154588427e+01,2.338941798941798709e+02,1.023531746031746081e+02
2.972930711610486583e+02,7.041760299625467212e+01,2.331187878787878560e+02,1.018133333333333184e+02
2.969169054441260869e+02,7.134670487106016878e+01,2.306805555555555429e+02,1.008611111111111001e+02
2.965447830101569480e+02,7.218005540166204526e+01,2.301489071038251097e+02,1.008510928961748476e+02
2.960425925925925981e+02,7.329259259259258386e+01,2.302401960784313530e+02,1.009215686274509665e+02
2.957280000000000086e+02,7.389066666666666094e+01,2.293965053763440665e+02,1.002352150537634401e+02
2.954458987783594921e+02,7.433420593368236950e+01,2.285910256410256238e+02,9.971025641025640596e+01
2.952586666666666702e+02,7.469333333333332803e+01,2.277413333333333014e+02,9.975733333333333519e+01
