# x1,y1,x2,y2
4.984177215189873067e+01,1.069799578059071621e+02,6.061027568922305164e+01,2.502130325814536036e+02
5.008309455587392733e+01,1.081833810888252145e+02,6.070987654320986593e+01,2.498358024691357571e+02
5.078395061728394921e+01,1.092857142857142918e+02,6.049004975124377381e+01,2.497064676616915335e+02
5.193673276676108941e+01,1.104589235127478730e+02,6.010980392156862706e+01,2.493372549019607902e+02
5.200908265213441695e+01,1.101634877384196187e+02,5.994598155467720346e+01,2.493530961791831260e+02
5.247511737089201489e+01,1.118873239436619684e+02,5.953231939163497799e+01,2.492141951837769227e+02
5.286346516007532159e+01,1.138709981167608163e+02,6.048232323232322472e+01,2.488282828282827950e+02
5.406936416184971250e+01,1.140250481695568396e+02,6.097395833333332860e+01,2.484010416666666572e+02
5.515523809523809007e+01,1.136876190476190374e+02,6.113618677042801863e+01,2.481841763942931038e+02
5.547722567287783590e+01,1.146977225672877836e+02,6.134635416666666430e+01,2.478658854166666572e+02
5.591308500477553878e+01,1.161117478510028604e+02,6.190262172284644038e+01,2.470374531835205971e+02
5.635055724417426148e+01,1.178571428571428612e+02,6.237654320987653733e+01,2.468901234567900929e+02
5.678437190900098841e+01,1.176716122650840646e+02,6.230523627075351101e+01,2.467816091954022966e+02
5.781641025641025067e+01,1.186215384615384636e+02,6.225911458333332860e+01,2.464049479166666572e+02
5.814040404040403587e+01,1.191161616161616053e+02,6.225911458333332860e+01,2.464049479166666572e+02
5.897634408602149847e+01,1.203086021505376237e+02,6.216125150421178347e+01,2.455330926594464245e+02
6.037681159420289134e+01,1.206459627329192585e+02,6.273114355231142980e+01,2.454428223844282115e+02
6.154479166666666146e+01,1.204760416666666458e+02,6.268922305764410652e+01,2.453095238095237960e+02
6.296969696969696173e+01,1.205898268398268272e+02,6.342558425584255133e+01,2.442939729397293718e+02
6.364959839357428706e+01,1.195441767068273009e+02,6.359975216852539859e+01,2.434485749690210525e+02
6.507339449541284182e+01,1.192996941896024481e+02,6.287044025157231886e+01,2.429345911949685330e+02
6.606886227544910639e+01,1.198333333333333144e+02,6.316049382716048655e+01,2.421419753086419462e+02
6.628090999010879614e+01,1.202077151335311527e+02,6.274561403508771207e+01,2.418208020050125242e+02
6.708635097493036881e+01,1.201949860724234043e+02,6.280897435897435344e+01,2.417589743589743421e+02
6.903519668737060044e+01,1.205838509316770200e+02,6.238768115942028913e+01,2.414867149758453877e+02
7.049520766773163416e+01,1.216357827476038409e+02,6.170440251572326673e+01,2.420867924528301955e+02
7.210094637223974701e+01,1.228096740273396392e+02,6.202098765432097593e+01,2.422876543209876559e+02
7.244841269841269593e+01,1.236051587301587205e+02,6.210651629072681601e+01,2.427656641604010019e+02
7.391991991991991995e+01,1.237267267267267243e+02,6.227376425855513276e+01,2.428212927756653983e+02
7.425925925925925242e+01,1.231695906432748586e+02,6.276014760147601379e+01,2.428081180811808224e+02
7.513373253493013237e+01,1.221596806387225342e+02,6.328838951310861205e+01,2.424669163545567869e+02
7.572269705603038403e+01,1.212858499525165996e+02,6.371410736579274925e+01,2.418426966292134921e+02
7.615118397085609558e+01,1.198433515482695810e+02,6.353566796368352243e+01,2.421634241245136252e+02
7.681894150417826950e+01,1.182358402971216265e+02,6.375326215895609749e+01,2.414922894424673530e+02
7.755586592178771355e+01,1.164003724394785735e+02,6.420048309178743295e+01,2.398333333333333428e+02
7.849840255591054472e+01,1.139925452609158611e+02,6.420710784313725128e+01,2.391862745098039227e+02
7.845379023883695879e+01,1.131339563862928372e+02,6.422552664188350491e+01,2.385873605947955411e+02
7.878612716763005608e+01,1.123545279383429545e+02,6.433850129198965817e+01,2.383372093023255900e+02
7.872560386473429617e+01,1.122811594202898533e+02,6.429790026246719492e+01,2.383202099737532649e+02
7.891411042944785947e+01,1.118394683026584744e+02,6.410611735330836325e+01,2.377378277153557917e+02
7.920585161964471865e+01,1.114200626959247700e+02,6.419629629629629619e+01,2.372802469135802426e+02
7.947942386831275030e+01,1.110833333333333286e+02,6.418034825870645932e+01,2.373756218905472508e+02
7.906481481481480955e+01,1.119146090534979265e+02,6.396186961869617704e+01,2.373911439114391158e+02
7.864694280078894906e+01,1.123648915187376645e+02,6.362619047619047308e+01,2.374023809523809234e+02
7.825172074729596261e+01,1.122595870206489650e+02,6.249358974358973740e+01,2.382602564102564031e+02
7.807080610021785105e+01,1.109694989106753695e+02,6.236111111111110716e+01,2.383421717171717091e+02
7.784592145015105302e+01,1.105780463242698772e+02,6.240467404674046037e+01,2.383603936039360178e+02
7.787973484848484418e+01,1.096174242424242351e+02,6.276953125000000000e+01,2.380130208333333144e+02
7.805505505505504971e+01,1.087837837837837895e+02,6.352133333333333098e+01,2.376639999999999873e+02
7.646899224806200834e+01,1.066124031007751825e+02,6.383333333333333570e+01,2.373224932249322308e+02
7.079573170731707421e+01,1.022550813008130035e+02,6.482156133828996758e+01,2.362961586121437279e+02
6.609651741293531302e+01,9.793631840796018651e+01,6.537726098191214419e+01,2.354328165374676871e+02
6.142870905587668062e+01,9.496628131021192587e+01,6.559188846641316673e+01,2.348897338403041886e+02
5.721521521521520981e+01,9.241741741741741123e+01,6.591478696741853582e+01,2.342882205513784299e+02
5.378369905956112973e+01,8.980773249738766140e+01,6.562138364779873712e+01,2.337622641509433947e+02
5.204288499025340542e+01,8.829824561403508199e+01,6.552549019607843661e+01,2.333071895424836271e+02
5.104470359572400184e+01,8.732847424684158000e+01,6.537224383916989723e+01,2.332295719844358075e+02
5.020569329660238367e+01,8.634527089072543049e+01,6.495006242197251822e+01,2.333995006242197121e+02
5.002604166666666430e+01,8.594791666666667140e+01,6.516356877323420349e+01,2.326728624535315930e+02
4.934520547945205493e+01,8.544383561643834923e+01,6.518734793187347520e+01,2.324391727493917017e+02
4.743786982248520445e+01,8.321104536489151826e+01,6.466171003717471422e+01,2.322490706319702554e+02
4.734659593280282053e+01,8.337400530503978757e+01,6.469662921348314910e+01,2.321647940074906273e+02
4.747215295095593746e+01,8.361512884455527228e+01,6.516913580246912829e+01,2.315592592592592496e+02
4.797156398104265662e+01,8.428436018957346221e+01,6.555714285714286405e+01,2.311619047619047365e+02
4.784040880503144422e+01,8.409984276729558417e+01,6.542592592592592382e+01,2.310580246913580140e+02
4.773621713316369153e+01,8.346649703138251652e+01,6.556554307116104496e+01,2.308064918851435436e+02
4.731402183039462273e+01,8.309403862300587207e+01,6.544736842105263008e+01,2.312305764411027269e+02
4.711282051282051242e+01,8.277179487179486728e+01,6.567878787878787250e+01,2.309272727272727366e+02
4.687996545768565682e+01,8.238687392055267367e+01,6.544895448954488870e+01,2.311549815498154885e+02
4.765311653116530977e+01,8.270822041553748249e+01,6.603995006242196553e+01,2.310374531835205971e+02
4.774767225325884112e+01,8.244227188081936220e+01,6.613986928104574758e+01,2.309307189542483343e+02
4.791374663072776485e+01,8.264061096136566675e+01,6.680535279805351934e+01,2.306386861313868621e+02
4.799031007751937494e+01,8.250290697674418539e+01,6.723703703703704093e+01,2.300481481481481580e+02
4.785141739980448961e+01,8.231476050830889335e+01,6.731126596980254817e+01,2.299384436701509742e+02
4.781568627450980102e+01,8.219411764705881751e+01,6.730806257521058455e+01,2.295643802647412599e+02
4.704637681159420026e+01,8.170628019323670799e+01,6.700486618004865136e+01,2.288807785888077717e+02
4.748611111111111427e+01,8.235185185185184764e+01,6.710462287104621737e+01,2.281009732360097360e+02
4.739656729900632115e+01,8.255916892502257554e+01,6.649408983451536415e+01,2.277245862884160488e+02
4.739656729900632115e+01,8.255916892502257554e+01,6.629736211031173809e+01,2.272937649880095705e+02
4.686737400530503805e+01,8.242086648983199382e+01,6.635990338164251057e+01,2.272596618357487728e+02
4.641011235955055980e+01,8.259831460674156745e+01,6.568953068592057321e+01,2.273537906137184166e+02
4.629868913857677626e+01,8.295318352059925360e+01,6.627376861397479502e+01,2.272634593356242476e+02
4.636126629422718537e+01,8.301489757914337986e+01,6.627054794520547887e+01,2.272500000000000000e+02
4.650858175248418291e+01,8.404426377597108910e+01,6.611737089201876927e+01,2.279448356807511686e+02
