# x1,y1,x2,y2
2.802194787379972354e+02,5.004663923182441465e+01,3.178387978142076236e+02,5.327868852459016580e+01
2.797475994513031310e+02,5.041426611796981661e+01,3.169018087855296812e+02,5.430490956072350883e+01
2.790745428973276603e+02,5.043319268635723773e+01,3.157453333333332921e+02,5.540533333333333132e+01
2.786526019690576277e+02,5.074261603375527585e+01,3.151912350597609702e+02,5.614873837981406979e+01
2.777165932452276138e+02,5.078267254038178891e+01,3.149889807162534225e+02,5.706473829201101466e+01
2.761681415929203354e+02,5.103392330383480413e+01,3.147466666666666129e+02,5.746000000000000085e+01
2.746938159879335899e+02,5.180995475113122239e+01,3.145525291828793684e+02,5.808041504539558986e+01
2.734902777777777487e+02,5.324722222222222001e+01,3.141081081081081265e+02,5.861518661518660878e+01
2.726806722689075855e+02,5.478851540616246041e+01,3.137125506072874259e+02,5.917948717948717530e+01
2.719956331877729099e+02,5.594905385735079761e+01,3.140186666666666042e+02,5.958800000000000097e+01
2.714166666666666856e+02,5.708487654320987303e+01,3.138525896414342355e+02,5.989110225763612050e+01
2.708284923928077319e+02,5.804149377593360981e+01,3.135534105534105151e+02,6.046589446589446482e+01
2.700330459770115112e+02,5.941810344827586476e+01,3.125973856209150199e+02,6.121830065359476691e+01
2.694603174603174125e+02,6.010822510822510623e+01,3.122591093117408718e+02,6.158299595141700422e+01
2.688008474576271283e+02,6.107768361581920402e+01,3.117624671916009902e+02,6.176902887139107179e+01
2.683236514522821494e+02,6.213554633471645872e+01,3.118129770992366616e+02,6.195165394402035020e+01
2.676782608695652357e+02,6.282028985507245977e+01,3.111931216931216682e+02,6.248809523809524080e+01
2.671746724890829796e+02,6.336244541484715853e+01,3.107259552042160635e+02,6.282608695652174191e+01
2.666047819971870467e+02,6.347679324894514963e+01,3.101791831357048750e+02,6.325428194993411779e+01
2.661873278236914189e+02,6.423691460055096059e+01,3.099215686274509949e+02,6.351111111111110574e+01
2.656206415620641224e+02,6.451464435146444032e+01,3.096781609195402325e+02,6.370625798212004298e+01
2.653195020746887849e+02,6.418257261410788317e+01,3.091851851851851620e+02,6.402809706257981759e+01
2.647347826086956388e+02,6.417101449275361347e+01,3.091678743961352325e+02,6.416304347826087451e+01
2.645963431786216233e+02,6.394092827004219259e+01,3.081881918819188400e+02,6.463345633456333417e+01
2.644325068870523410e+02,6.375895316804407287e+01,3.073178893178892963e+02,6.522651222651221303e+01
2.639460580912863179e+02,6.369294605809128740e+01,3.070000000000000000e+02,6.543990086741015944e+01
2.636340136054421350e+02,6.337142857142857366e+01,3.066095979247729701e+02,6.578728923476005264e+01
2.633193863319386310e+02,6.298326359832636001e+01,3.057333333333333485e+02,6.608496732026142695e+01
2.627493112947658460e+02,6.292699724517905935e+01,3.058212005108556468e+02,6.615836526181352895e+01
2.625000000000000000e+02,6.254481792717086819e+01,3.054659090909090651e+02,6.628409090909090651e+01
2.620749665327978732e+02,6.208032128514056325e+01,3.053047263681591517e+02,6.647761194029850174e+01
2.616111111111110858e+02,6.197777777777777430e+01,3.051441441441441498e+02,6.650450450450449580e+01
2.611349862258953181e+02,6.157300275482093355e+01,3.045054545454545405e+02,6.665090909090909577e+01
2.607187928669409871e+02,6.151577503429354721e+01,3.045311355311355328e+02,6.665934065934065700e+01
2.602059620596205605e+02,6.160840108401083626e+01,3.042937649880095705e+02,6.671822541966426456e+01
2.596884353741496625e+02,6.135918367346938851e+01,3.041328413284132921e+02,6.658794587945878618e+01
2.603686440677965948e+02,6.734887005649717651e+01,3.036023166023165913e+02,7.332303732303731181e+01
2.567819548872180349e+02,5.829448621553883925e+01,3.007966101694915437e+02,6.413672316384180760e+01
2.573421383647798280e+02,5.935094339622641257e+01,3.007687296416938239e+02,6.591313789359391251e+01
2.567653846153846189e+02,5.834743589743589354e+01,2.995119047619047024e+02,6.536255411255410763e+01
2.577303523035230342e+02,6.312195121951219789e+01,2.996842723004694449e+02,7.107394366197182478e+01
2.543517835178351731e+02,5.781795817958179384e+01,2.960660377358490791e+02,6.601886792452830832e+01
2.543143939393939377e+02,5.868055555555555003e+01,2.962299578059071337e+02,6.673101265822785422e+01
2.536967509025270715e+02,5.804452466907340380e+01,2.961849529780564012e+02,6.672204806687564371e+01
2.526883273164861237e+02,5.681347773766545828e+01,2.960753715498938163e+02,6.676433121019108796e+01
2.511077694235588638e+02,5.618546365914786378e+01,2.954328703703703241e+02,6.701041666666667140e+01
2.493169811320754832e+02,5.601006289308175923e+01,2.945358649789029641e+02,6.757172995780589986e+01
2.477711442786069256e+02,5.562189054726368198e+01,2.934499449944994467e+02,6.790979097909790596e+01
2.466442080378250239e+02,5.554255319148936110e+01,2.929161290322580840e+02,6.819032258064515872e+01
2.456317689530685868e+02,5.520096269554753121e+01,2.930064102564102768e+02,6.814102564102563520e+01
2.446431924882628834e+02,5.514788732394366377e+01,2.927106339468302281e+02,6.847750511247443228e+01
2.438602150537634543e+02,5.504778972520907843e+01,2.928526422764227277e+02,6.844105691056910246e+01
2.425135802469135626e+02,5.505679012345678558e+01,2.905315904139433201e+02,6.937908496732026720e+01
2.419469135802468998e+02,5.496419753086419036e+01,2.899035087719298076e+02,6.965131578947368496e+01
2.415563636363636419e+02,5.469575757575756825e+01,2.896204620462046364e+02,6.994609460946094259e+01
2.409274292742927344e+02,5.475399753997539420e+01,2.898199356913183351e+02,6.968595927116827227e+01
2.402284644194756424e+02,5.473907615480649014e+01,2.890638297872340559e+02,7.025937183383992135e+01
2.402342007434944264e+02,5.430731102850062086e+01,2.881974522292993584e+02,7.048407643312101811e+01
2.398200483091787305e+02,5.427898550724637516e+01,2.879411146161934880e+02,7.067192429022081512e+01
2.394267676767676676e+02,5.436489898989898251e+01,2.872641898864808923e+02,7.078018575851393734e+01
2.387502903600464492e+02,5.408826945412310749e+01,2.866280353200882587e+02,7.109823399558497670e+01
2.383722025912838376e+02,5.404240282685512398e+01,2.860685358255451547e+02,7.144029075804776596e+01
2.380355392156862706e+02,5.378676470588235503e+01,2.853083333333332803e+02,7.151770833333333144e+01
2.376052009456264500e+02,5.387825059101654546e+01,2.848348909657320860e+02,7.165212876427828803e+01
2.372012121212121087e+02,5.380969696969696514e+01,2.845084388185653665e+02,7.165717299578058430e+01
2.369488139825218411e+02,5.347940074906367158e+01,2.839917184265009951e+02,7.188509316770186786e+01
2.369488139825218411e+02,5.347940074906367158e+01,2.835690550363447073e+02,7.188265835929387038e+01
2.361163069544364248e+02,5.346882494004795916e+01,2.830407523510971828e+02,7.181713688610238933e+01
2.359045893719806770e+02,5.360990338164251057e+01,2.825708200212991983e+02,7.202129925452608461e+01
2.359105392156862706e+02,5.361397058823529704e+01,2.816453674121405584e+02,7.216826411075611247e+01
2.354930817610062661e+02,5.358364779874213468e+01,2.816986155484557912e+02,7.215441959531416671e+01
2.352286401925391033e+02,5.347533092659445941e+01,2.808643533123028533e+02,7.236803364879074252e+01
2.353579812206572512e+02,5.335680751173708813e+01,2.804709677419355103e+02,7.238064516129031745e+01
2.350578105781057729e+02,5.352521525215252041e+01,2.799309978768577594e+02,7.241825902335456533e+01
2.352004830917874187e+02,5.341787439613526089e+01,2.796482683982683852e+02,7.244805194805195470e+01
2.351107011070110673e+02,5.350676506765066875e+01,2.790000000000000000e+02,7.267502612330197564e+01
2.348174904942965782e+02,5.341951837769327938e+01,2.790000000000000000e+02,7.267502612330197564e+01
2.342939729397294002e+02,5.354243542435424530e+01,2.777204301075268518e+02,7.278172043010752645e+01
2.341968019680196562e+02,5.333087330873308218e+01,2.774541531823085165e+02,7.281661272923408035e+01
2.341968019680196562e+02,5.333087330873308218e+01,2.771264737406216341e+02,7.288317256162915214e+01
2.343454987834549854e+02,5.323357664233576969e+01,2.765927116827438113e+02,7.277920685959270486e+01
2.343454987834549854e+02,5.323357664233576969e+01,2.764480171489817621e+02,7.278885316184350529e+01
2.335789473684210407e+02,5.312030075187969658e+01,2.751063122923587798e+02,7.297785160575857333e+01
2.338039950062421894e+02,5.299126092384518927e+01,2.752994708994708617e+02,7.269947089947089580e+01
2.336515151515151558e+02,5.286111111111110716e+01,2.747408602150537149e+02,7.273548387096774093e+01
2.335362853628536186e+02,5.290528905289052375e+01,2.742437971952534781e+02,7.262567421790721767e+01
2.335362853628536186e+02,5.246740467404674035e+01,2.743480546792849282e+02,7.248790746582544386e+01
2.333894862604539924e+02,5.225089605734766707e+01,2.738036677454152823e+02,7.235167206040991061e+01
2.331567901234567728e+02,5.236419753086419604e+01,2.730747863247863165e+02,7.249679487179487580e+01
2.331567901234567728e+02,5.236419753086419604e+01,2.730010615711252626e+02,7.252547770700637386e+01
2.331044776119402968e+02,5.237686567164178797e+01,2.725655913978494596e+02,7.263118279569891911e+01
2.328201257861635156e+02,5.230062893081760933e+01,2.724920634920634939e+02,7.264867724867724519e+01
2.330836320191158677e+02,5.157467144563918282e+01,2.721301587301587119e+02,7.268042328042326972e+01
2.329257950530035259e+02,5.161601884570082177e+01,2.719029535864978584e+02,7.288291139240506311e+01
2.329257950530035259e+02,5.161601884570082177e+01,2.717122153209109570e+02,7.299896480331261728e+01
2.327434052757793665e+02,5.172302158273381423e+01,2.716584362139917630e+02,7.304526748971193228e+01
2.327595419847328344e+02,5.133842239185750600e+01,2.713016393442622984e+02,7.327978142076501911e+01
2.325252525252525118e+02,5.099621212121212466e+01,2.711121593291404110e+02,7.330922431865828059e+01
2.325626477541370889e+02,5.085933806146571357e+01,2.705982905982905891e+02,7.382371794871794179e+01
2.323460648148147811e+02,5.095254629629629051e+01,2.706837060702875419e+02,7.378700745473908285e+01
2.320533333333333132e+02,5.065818181818181642e+01,2.704677248677248258e+02,7.410052910052908715e+01
2.321321428571428669e+02,5.056190476190475636e+01,2.702242609582058890e+02,7.425891946992864234e+01
2.316413043478260931e+02,5.041062801932366710e+01,2.698010752688172147e+02,7.457204301075267949e+01
2.317236061684459969e+02,4.999169632265717667e+01,2.694382716049382793e+02,7.504938271604937938e+01
2.314224664224664139e+02,4.981562881562881273e+01,2.695807453416148860e+02,7.461490683229813214e+01
2.315023809523809462e+02,4.979285714285714448e+01,2.695807453416148860e+02,7.461490683229813214e+01
2.316057471264367393e+02,4.941034482758620783e+01,2.696436436436436566e+02,7.447647647647646352e+01
2.308741258741258662e+02,4.939160839160839345e+01,2.683767195767195517e+02,7.503809523809523796e+01
2.307652582159624330e+02,4.923004694835680084e+01,2.680560846560846358e+02,7.520952380952381588e+01
2.307992831541218663e+02,4.901553166069294321e+01,2.678942307692307736e+02,7.532478632478631653e+01
2.307547619047618923e+02,4.896666666666666146e+01,2.678942307692307736e+02,7.532478632478631653e+01
2.302753623188405925e+02,4.887681159420289845e+01,2.674372294372294050e+02,7.540909090909090651e+01
2.298210526315789366e+02,4.886081871345028560e+01,2.659663056558363223e+02,7.640673886883271848e+01
2.298501742160278809e+02,4.887224157955864712e+01,2.668133333333333326e+02,7.580777777777777260e+01
2.297597173144876308e+02,4.888810365135453395e+01,2.668079470198675267e+02,7.578587196467991305e+01
2.297684210526315667e+02,4.891345029239765552e+01,2.663365282215122534e+02,7.597657082002129414e+01
