# x1,y1,x2,y2
7.518059855521156010e+01,2.834520123839009216e+02,6.413897937024971441e+01,3.108023887079261272e+02
7.546239837398373140e+01,2.839837398373983319e+02,6.427204301075268233e+01,3.108580645161290477e+02
7.544269190325972829e+01,2.836214511041009700e+02,6.443818984547461071e+01,3.111953642384106047e+02
7.561387163561076363e+01,2.838436853002070279e+02,6.385639412997903008e+01,3.109276729559748560e+02
7.571458333333332291e+01,2.836177083333333258e+02,6.391354166666666003e+01,3.109312499999999773e+02
7.594376278118608070e+01,2.835940695296523018e+02,6.359552845528455123e+01,3.108109756097560989e+02
7.643645833333332007e+01,2.837614583333332803e+02,6.398251028806583918e+01,3.111903292181069673e+02
7.681592039800995053e+01,2.836537313432835958e+02,6.398378926038499515e+01,3.112107396149949068e+02
7.714826498422712575e+01,2.833091482649842305e+02,6.413003095975231815e+01,3.112291021671826456e+02
7.736875000000000568e+01,2.833072916666666288e+02,6.419076923076923435e+01,3.112307692307692264e+02
7.786480908152734060e+01,2.828947368421052602e+02,6.462272240085744102e+01,3.112561629153268541e+02
7.799679487179487580e+01,2.833055555555555429e+02,6.435507246376810997e+01,3.112650103519668505e+02
7.813185654008438519e+01,2.837542194092827117e+02,6.478070175438595868e+01,3.115734649122807127e+02
7.825541125541124643e+01,2.843939393939393767e+02,6.476906318082788516e+01,3.115925925925925526e+02
7.842724458204334326e+01,2.853611971104230634e+02,6.488222923238694761e+01,3.117192429022081797e+02
7.844798301486198966e+01,2.855233545647558344e+02,6.490947816826410133e+01,3.117124600638977654e+02
7.835490830636460657e+01,2.851779935275080788e+02,6.532646048109965875e+01,3.119175257731958482e+02
7.874276527331190323e+01,2.859592711682743698e+02,6.521773288439953831e+01,3.118361391694724603e+02
7.894123606889563405e+01,2.855045592705167223e+02,6.515737704918032591e+01,3.116612021857923196e+02
7.892395833333333144e+01,2.853145833333333030e+02,6.528222222222221660e+01,3.116633333333333553e+02
7.908935742971887350e+01,2.862188755020080180e+02,6.513196814562002146e+01,3.115711035267349303e+02
7.892299578059071052e+01,2.860685654008438519e+02,6.453721682847896091e+01,3.114573894282631841e+02
7.894758909853248952e+01,2.869297693920335064e+02,6.440277777777777146e+01,3.115309829059828530e+02
7.900820512820511965e+01,2.875794871794871597e+02,6.398776758409785970e+01,3.114933741080529899e+02
7.871878393051031253e+01,2.875255157437567846e+02,6.373460721868364232e+01,3.115668789808917154e+02
7.874635241301906774e+01,2.874141414141413975e+02,6.347294372294371811e+01,3.114870129870129745e+02
7.896193771626298030e+01,2.869388696655132662e+02,6.363050847457627412e+01,3.115333333333333030e+02
7.933224400871458215e+01,2.879433551198256964e+02,6.360424028268550956e+01,3.114240282685512398e+02
7.934219269102989358e+01,2.873864894795127043e+02,6.376107226107225046e+01,3.113519813519812942e+02
7.945791245791245672e+01,2.875387205387205540e+02,6.428232502965597916e+01,3.114472123368919938e+02
7.953156146179402697e+01,2.876112956810630976e+02,6.415030303030302150e+01,3.114169696969696588e+02
7.946118721461186851e+01,2.870456621004565818e+02,6.325212121212121019e+01,3.110533333333332848e+02
7.959385665529009657e+01,2.874163822525597425e+02,6.378562577447335258e+01,3.108686493184633832e+02
7.963926940639268537e+01,2.875433789954337840e+02,6.365802469135801545e+01,3.107469135802468827e+02
7.963926940639268537e+01,2.875433789954337840e+02,6.369523809523808922e+01,3.104190476190476033e+02
7.964111498257840083e+01,2.874332171893147461e+02,6.361192214111921572e+01,3.103917274939172444e+02
7.950233100233099037e+01,2.866561771561771366e+02,6.349400479616306825e+01,3.082649880095922867e+02
7.955082742316784561e+01,2.866938534278959310e+02,6.276004728132387100e+01,3.078037825059101351e+02
7.957543859649122453e+01,2.865333333333333599e+02,6.250793650793649903e+01,3.075763125763125458e+02
7.979387514723202912e+01,2.860212014134275478e+02,6.244329896907216693e+01,3.071317296678121238e+02
7.985946573751451183e+01,2.863554006968641374e+02,6.219832735961767867e+01,3.068231780167263878e+02
8.005111111111111200e+01,2.873888888888888573e+02,6.183276059564718707e+01,3.066380297823596379e+02
7.998123620309050352e+01,2.874988962472405660e+02,6.203356481481480955e+01,3.064930555555555429e+02
7.999331103678929367e+01,2.871638795986622199e+02,6.232305936073058916e+01,3.065239726027397182e+02
8.007700770077006780e+01,2.873729372937293647e+02,6.275055187637968146e+01,3.063211920529801091e+02
8.055263157894736992e+01,2.876951754385964932e+02,6.265016501650165281e+01,3.063784378437843543e+02
8.065079365079364493e+01,2.866247165532879535e+02,6.269416941694169054e+01,3.059273927392739552e+02
8.097315436241611053e+01,2.864988814317673018e+02,6.300647249190938481e+01,3.058608414239482158e+02
8.120876585928488112e+01,2.866136101499423035e+02,6.351504629629629051e+01,3.058750000000000000e+02
8.161224489795918657e+01,2.868594104308389774e+02,6.365397923875432440e+01,3.058292964244520817e+02
8.161224489795918657e+01,2.868594104308389774e+02,6.391371158392433927e+01,3.058156028368794068e+02
8.183892617449664897e+01,2.864720357941833981e+02,6.419415204678362841e+01,3.059111111111110972e+02
