# x1,y1,x2,y2
2.737889317889317908e+02,6.885971685971685474e+01,3.145489021956087754e+02,2.655968063872255129e+02
2.749479717813051138e+02,7.844797178130511384e+01,3.151739130434782510e+02,2.736021080368906269e+02
2.743826839826839432e+02,7.645281385281384701e+01,3.145459317585301733e+02,2.711837270341206931e+02
2.740961038961038980e+02,7.614891774891773935e+01,3.145099502487561836e+02,2.713855721393034628e+02
2.735863874345549789e+02,7.555671902268760221e+01,3.144500648508430345e+02,2.710350194552528933e+02
2.734134366925064796e+02,7.558914728682169937e+01,3.144580152671755968e+02,2.712048346055979096e+02
2.732245072836332156e+02,7.555355612682090793e+01,3.144580152671755968e+02,2.712048346055979096e+02
2.731394557823128935e+02,7.543367346938775597e+01,3.142972972972972912e+02,2.705160875160874525e+02
2.727172995780590554e+02,7.495189873417722026e+01,3.143152454780361609e+02,2.702273901808785013e+02
2.727172995780590554e+02,7.495189873417722026e+01,3.143152454780361609e+02,2.702273901808785013e+02
2.724056525353283291e+02,7.486284289276808579e+01,3.143194444444444002e+02,2.700176767676767327e+02
2.724056525353283291e+02,7.486284289276808579e+01,3.143194444444444002e+02,2.700176767676767327e+02
2.718854166666666856e+02,7.418576388888888573e+01,3.147247474747474598e+02,2.691439393939393767e+02
2.716799667497921860e+02,7.400166251039068754e+01,3.147364341085271349e+02,2.692067183462531830e+02
2.716085858585858546e+02,7.399158249158249134e+01,3.147195767195767075e+02,2.691481481481481524e+02
2.709698535745047252e+02,7.325667527993108763e+01,3.147403100775193820e+02,2.687080103359172654e+02
2.704502617801047109e+02,7.261954624781849077e+01,3.147878787878788103e+02,2.689646464646464210e+02
2.710376884422110493e+02,7.347654941373534143e+01,3.149566294919454776e+02,2.686728624535315930e+02
2.708949181739879464e+02,7.348751076658052739e+01,3.148946078431372371e+02,2.683884803921568505e+02
2.706770833333333144e+02,7.328819444444444287e+01,3.149323493234932130e+02,2.682656826568265842e+02
2.708396624472573535e+02,7.342531645569620480e+01,3.149530864197530491e+02,2.684320987654320447e+02
2.705180180180179832e+02,7.343693693693693092e+01,3.149987745098038658e+02,2.681127450980391700e+02
2.701666666666666288e+02,7.309615384615383959e+01,3.148489583333333144e+02,2.683606770833333144e+02
2.698704761904761540e+02,7.267904761904760846e+01,3.148296296296296077e+02,2.681283950617283836e+02
2.707300724637680673e+02,7.392391304347826519e+01,3.150794871794871597e+02,2.679012820512820099e+02
2.708529411764706083e+02,7.384937611408199132e+01,3.149974358974358779e+02,2.676987179487178992e+02
2.705409836065574041e+02,7.335245901639343913e+01,3.150810810810810949e+02,2.677773487773487773e+02
2.707486486486486683e+02,7.355045045045044105e+01,3.150261194029851026e+02,2.678644278606964804e+02
2.707744565217391255e+02,7.358876811594201683e+01,3.149755469755469335e+02,2.678043758043758089e+02
2.708797814207650276e+02,7.347358834244079162e+01,3.150401606425702994e+02,2.679973226238286088e+02
2.712805628847845014e+02,7.371591908531222259e+01,3.150685111989459415e+02,2.679051383399209385e+02
2.713059239610963687e+02,7.371971706454465334e+01,3.150685111989459415e+02,2.679051383399209385e+02
2.714755434782608745e+02,7.380887681159420310e+01,3.149327956989247355e+02,2.682768817204300831e+02
2.714358974358974024e+02,7.370910698496905411e+01,3.149103535353535221e+02,2.677777777777777715e+02
2.715846994535519343e+02,7.370400728597449813e+01,3.149058524173027536e+02,2.678727735368956360e+02
2.722540084388185733e+02,7.436118143459914620e+01,3.148764478764478554e+02,2.679665379665379419e+02
2.729452991452991455e+02,7.484102564102563804e+01,3.151259259259259125e+02,2.681259259259259125e+02
2.729560931899641218e+02,7.470878136200715858e+01,3.151569390402074760e+02,2.684578469520103567e+02
2.730430402930402920e+02,7.479578754578753319e+01,3.150127713920817314e+02,2.680038314176244967e+02
2.730561594202898164e+02,7.479528985507245409e+01,3.150127713920817314e+02,2.680038314176244967e+02
