# x1,y1,x2,y2
1.031081560283687821e+02,6.762411347517729610e+01,2.490220941402497203e+02,5.726320845341017929e+01
1.031081560283687821e+02,6.762411347517729610e+01,2.489662813102119401e+02,5.717533718689787037e+01
1.036489001692047367e+02,6.807021996615904413e+01,2.489769452449567666e+02,5.716714697406339951e+01
1.036793248945147496e+02,6.813248945147678626e+01,2.492727272727272805e+02,5.716896235078053223e+01
1.045681618293755406e+02,6.860334212840808732e+01,2.497238095238095070e+02,5.742571428571428527e+01
1.048029134532990412e+02,6.868551842330762724e+01,2.500719921104536354e+02,5.760157790927021182e+01
1.050762639245929648e+02,6.870094258783204566e+01,2.500360623781676281e+02,5.755360623781675855e+01
1.053140703517588008e+02,6.882914572864321201e+01,2.500009803921568619e+02,5.755980392156862280e+01
1.053751044277360052e+02,6.885797827903090251e+01,2.499469026548672446e+02,5.748475909537856410e+01
1.060351328191945157e+02,6.920222793487573654e+01,2.497992202729044777e+02,5.753411306042884377e+01
1.058593350383631702e+02,6.905200341005966891e+01,2.497152380952380781e+02,5.757619047619046881e+01
1.061569620253164601e+02,6.924219409282699189e+01,2.497480842911877232e+02,5.761111111111110716e+01
1.060822837951301381e+02,6.916624685138539519e+01,2.499203539823008953e+02,5.782300884955752451e+01
1.067195633921074602e+02,6.946767422334171727e+01,2.498640873015872899e+02,5.777876984126983473e+01
1.073791348600508968e+02,6.980237489397794093e+01,2.499246031746031349e+02,5.797519841269840413e+01
1.073156498673740060e+02,6.978603006189213431e+01,2.498464646464646250e+02,5.795656565656565107e+01
1.078059181897301926e+02,7.009051348999129516e+01,2.498464646464646250e+02,5.795656565656565107e+01
1.078931955211024984e+02,7.016192937123169315e+01,2.498464646464646250e+02,5.795656565656565107e+01
1.081077184054283151e+02,7.032909245122985453e+01,2.495519287833827775e+02,5.778338278931750693e+01
1.081286089238845136e+02,7.025984251968503713e+01,2.497774647887324022e+02,5.805164319248825677e+01
1.086287878787878753e+02,7.044107744107743940e+01,2.498362235067437211e+02,5.808381502890173209e+01
1.085783333333333189e+02,7.044416666666666060e+01,2.498362235067437211e+02,5.808381502890173209e+01
1.087195633921074602e+02,7.053484466834592581e+01,2.495673352435530035e+02,5.819006685768862752e+01
1.087195633921074602e+02,7.053484466834592581e+01,2.496494746895892831e+02,5.837153772683858222e+01
1.100195555555555416e+02,7.162933333333333508e+01,2.500512048192771033e+02,5.868975903614457934e+01
1.099303106633081342e+02,7.146683459277917905e+01,2.500268656716417865e+02,5.873532338308457668e+01
1.099303106633081342e+02,7.146683459277917905e+01,2.500268656716417865e+02,5.873532338308457668e+01
1.105942386831275712e+02,7.178436213991768966e+01,2.500914454277286154e+02,5.877286135693215385e+01
1.105818930041152157e+02,7.172016460905349788e+01,2.503840796019900097e+02,5.883383084577113920e+01
1.113792792792792596e+02,7.211081081081080413e+01,2.502225579053373394e+02,5.873816717019133904e+01
1.115208333333333286e+02,7.213628472222221433e+01,2.504161676646706667e+02,5.916167664670658866e+01
1.116421052631579016e+02,7.223771929824560800e+01,2.504186746987951722e+02,5.913554216867469648e+01
1.122024432809773060e+02,7.267539267015706628e+01,2.504186746987951722e+02,5.913554216867469648e+01
1.122024432809773060e+02,7.267539267015706628e+01,2.502067901234567842e+02,5.906481481481481666e+01
1.127815789473684163e+02,7.303157894736841627e+01,2.504038647342995034e+02,5.912946859903380670e+01
1.127591111111111104e+02,7.307555555555555316e+01,2.502620481927710898e+02,5.912951807228915868e+01
1.130711711711711587e+02,7.332702702702702879e+01,2.504751984126983757e+02,5.931051587301586636e+01
1.132560646900269603e+02,7.354537286612757896e+01,2.502894211576846146e+02,5.922554890219560519e+01
1.134991273996509591e+02,7.377399650959860367e+01,2.503225490196078056e+02,5.934215686274509238e+01
1.140852915578764026e+02,7.405134899912967228e+01,2.502668680765357294e+02,5.943303121852970605e+01
1.140442708333333286e+02,7.397743055555555713e+01,2.499979360165118578e+02,5.935190918472651589e+01
1.141314432989690744e+02,7.406529209621993459e+01,2.499451219512195053e+02,5.933536585365853711e+01
1.147593582887700592e+02,7.450891265597147139e+01,2.500471794871794771e+02,5.940820512820511823e+01
1.150052083333333286e+02,7.475086805555555713e+01,2.501738241308793249e+02,5.910224948875255535e+01
1.157083333333333286e+02,7.528645833333332860e+01,2.506575481256332125e+02,5.944275582573454386e+01
1.160492227979274560e+02,7.544905008635578270e+01,2.507098393574297006e+02,5.933433734939759319e+01
1.160498281786941419e+02,7.549054982817868620e+01,2.508145896656535001e+02,5.942147922998986331e+01
1.164285714285714306e+02,7.566936208445642364e+01,2.506616465863453413e+02,5.921987951807228967e+01
1.166083112290008756e+02,7.573032714412023836e+01,2.504083080040526568e+02,5.914994934143869898e+01
1.172255434782608745e+02,7.608786231884057827e+01,2.504833333333332916e+02,5.923541666666666572e+01
1.172070446735394995e+02,7.611082474226803640e+01,2.505451713395638649e+02,5.929595015576323647e+01
1.170026246719160099e+02,7.599825021872266007e+01,2.505451713395638649e+02,5.929595015576323647e+01
1.177882764654418111e+02,7.640682414698163427e+01,2.502116716122650644e+02,5.953016815034618503e+01
1.179120974760661369e+02,7.664926022628371527e+01,2.501765285996054899e+02,5.949802761341222634e+01
1.179955555555555406e+02,7.678044444444444139e+01,2.500453172205438079e+02,5.949043303121852944e+01
1.182475424486148228e+02,7.701608579088471629e+01,2.500000000000000000e+02,5.951051051051051388e+01
1.184302222222222127e+02,7.721866666666666390e+01,2.500604229607250772e+02,5.957703927492447349e+01
1.189285714285714306e+02,7.759876543209875877e+01,2.501171171171171181e+02,5.961561561561561717e+01
1.191251093613298337e+02,7.772703412073491336e+01,2.502280193236714751e+02,5.983188405797101694e+01
1.193668478260869534e+02,7.813677536231884346e+01,2.504664723032069844e+02,6.016618075801748944e+01
1.198550323176361871e+02,7.842843951985226170e+01,2.503636363636363740e+02,5.995894428152492850e+01
1.202668439716311894e+02,7.866843971631205079e+01,2.503980392156862536e+02,5.999313725490195282e+01
1.202798245614035011e+02,7.873508771929824945e+01,2.502844574780058622e+02,6.005083088954056336e+01
1.206257777777777704e+02,7.895733333333333803e+01,2.503757225433525946e+02,6.035260115606936182e+01
1.207787037037036839e+02,7.912500000000000000e+01,2.505936213991769534e+02,6.078909465020575453e+01
1.209274563820018358e+02,7.917814508723598976e+01,2.506529814271749501e+02,6.128445747800586219e+01
1.209274563820018358e+02,7.917814508723598976e+01,2.507265700483091564e+02,6.143768115942029340e+01
1.211987522281639826e+02,7.940730837789661223e+01,2.508690476190476204e+02,6.170436507936507553e+01
1.215084897229669281e+02,7.959785522788203593e+01,2.508712574850299291e+02,6.176846307385228840e+01
1.220397470641373019e+02,8.010027100271003064e+01,2.508276515151515014e+02,6.191950757575757081e+01
1.218664898320070620e+02,7.994341290893014218e+01,2.510970220941402147e+02,6.250528338136406603e+01
1.219448888888888689e+02,7.999377777777776544e+01,2.511216475095785370e+02,6.251628352490421037e+01
1.223065630397236419e+02,8.019170984455958262e+01,2.515276134122287885e+02,6.330473372781064967e+01
1.223065630397236419e+02,8.019170984455958262e+01,2.514890219560878108e+02,6.339221556886227660e+01
1.227982222222222077e+02,8.073333333333333428e+01,2.511074626865671746e+02,6.360000000000000142e+01
1.227085561497326154e+02,8.078966131907307613e+01,2.511049019607842752e+02,6.404607843137253553e+01
1.228221626452189383e+02,8.092493297587131451e+01,2.510237388724035554e+02,6.424035608308605561e+01
1.228221626452189383e+02,8.092493297587131451e+01,2.511133720930232585e+02,6.484302325581394655e+01
1.232439678284182349e+02,8.134941912421804489e+01,2.514029411764705912e+02,6.530588235294118249e+01
1.233324444444444339e+02,8.150311111111111018e+01,2.513232016210739346e+02,6.575481256332319902e+01
1.236604774535808957e+02,8.170645446507515430e+01,2.511365461847389327e+02,6.600602409638554491e+01
1.236338652482269396e+02,8.168794326241133774e+01,2.510654396728016309e+02,6.609202453987730053e+01
1.243024850042844776e+02,8.204027420736932186e+01,2.510982142857142776e+02,6.645535714285713880e+01
1.245689354275741607e+02,8.204973821989528915e+01,2.510410410410410122e+02,6.652152152152152098e+01
1.249713261648745402e+02,8.223476702508959590e+01,2.511124497991967814e+02,6.721084337349397231e+01
1.252083333333333144e+02,8.238563829787234738e+01,2.508396501457725947e+02,6.758406219630708733e+01
1.251811594202898448e+02,8.245833333333332860e+01,2.506072796934865892e+02,6.779980842911876948e+01
1.255576407506702452e+02,8.259159964253797170e+01,2.508439073514602171e+02,6.864652567975831232e+01
1.259203849518810046e+02,8.278565179352580117e+01,2.508416912487708714e+02,6.883284169124877394e+01
1.265978552278820359e+02,8.333333333333332860e+01,2.505903866248693816e+02,6.938871473354231512e+01
1.265991228070175367e+02,8.314649122807017534e+01,2.504164133738601947e+02,6.966058763931104636e+01
1.265469858156028238e+02,8.312145390070921280e+01,2.504202898550724683e+02,7.009855072463767556e+01
1.264991039426523258e+02,8.319802867383512535e+01,2.499202279202279158e+02,7.059829059829060327e+01
1.268416447944006933e+02,8.331058617672790945e+01,2.495876190476190288e+02,7.094095238095238187e+01
1.279526411657559066e+02,8.396721311475410232e+01,2.493920398009950077e+02,7.148955223880597032e+01
1.279112318840579547e+02,8.396648550724637516e+01,2.493952095808383262e+02,7.227644710578842080e+01
