# x1,y1,x2,y2
5.863718820861677727e+01,5.077664399092969916e+01,3.211188271604937654e+02,2.526651234567900985e+02
5.885714285714285410e+01,5.077354497354497198e+01,3.213198804185350923e+02,2.525859491778774100e+02
5.895164609053497884e+01,5.084979423868312409e+01,3.212892804698971645e+02,2.534082232011747351e+02
5.926688102893890431e+01,5.065809217577706391e+01,3.212687687687687230e+02,2.530645645645645345e+02
5.883946830265848149e+01,5.044580777096113877e+01,3.209685264663805242e+02,2.532317596566523719e+02
5.895207667731629186e+01,5.048562300319488827e+01,3.212293577981651538e+02,2.521681957186544309e+02
5.913564668769716093e+01,5.033228180862249701e+01,3.211515151515151274e+02,2.525712121212121133e+02
5.929927760577914597e+01,5.037358101135190935e+01,3.212721088435374099e+02,2.524302721088435248e+02
5.922666666666665947e+01,5.034666666666666401e+01,3.213395931142409836e+02,2.523035993740218998e+02
5.921604938271605079e+01,5.015843621399176300e+01,3.212981574539363123e+02,2.523752093802344802e+02
5.927301587301587205e+01,5.030476190476190368e+01,3.215666666666666060e+02,2.524045454545454561e+02
5.910862619808306562e+01,5.017465388711394780e+01,3.211986863711001661e+02,2.523645320197044271e+02
5.924000000000000199e+01,5.013435897435897459e+01,3.213445512820512135e+02,2.520464743589743364e+02
5.918930041152263044e+01,5.000102880658435822e+01,3.212979066022543861e+02,2.522608695652174049e+02
5.959259259259258812e+01,4.999128540305010659e+01,3.212399355877616358e+02,2.523381642512077292e+02
5.948523206751054460e+01,4.968881856540084385e+01,3.217071197411002572e+02,2.524967637540452756e+02
5.937286324786324343e+01,4.961324786324785663e+01,3.215429864253393930e+02,2.523122171945701382e+02
5.935639412997903008e+01,4.956079664570230392e+01,3.215084485407065813e+02,2.521904761904761756e+02
5.928645833333332860e+01,4.955416666666666003e+01,3.215498442367600660e+02,2.520778816199376706e+02
5.966767983789259944e+01,4.946403242147923152e+01,3.215198776758409736e+02,2.526177370030580960e+02
5.969092827004219259e+01,4.971518987341772089e+01,3.214684684684684726e+02,2.530120120120120077e+02
5.954231974921630410e+01,4.961546499477533700e+01,3.215739837398373311e+02,2.519365853658536594e+02
5.949520766773162705e+01,4.968157614483492779e+01,3.215158730158730123e+02,2.520158730158729838e+02
5.993009118541033331e+01,4.973150962512664108e+01,3.215539452495974047e+02,2.520338164251207616e+02
6.011076280041796593e+01,4.955276907001044862e+01,3.213932411674346667e+02,2.520061443932411578e+02
6.055205047318612088e+01,5.005257623554153668e+01,3.216416666666666515e+02,2.524716666666666356e+02
6.046177370030581244e+01,5.004791029561671678e+01,3.216303317535545148e+02,2.527235387045813582e+02
6.042686567164179223e+01,4.995721393034825297e+01,3.215060606060606005e+02,2.525030303030303003e+02
6.046007984031935223e+01,4.999800399201596690e+01,3.215955766192732312e+02,2.522748815165876692e+02
6.046007984031935223e+01,4.999800399201596690e+01,3.215955766192732312e+02,2.522748815165876692e+02
