# x1,y1,x2,y2
7.292170818505337593e+01,2.516939501779359318e+02,2.197945355191256738e+02,1.811387978142076349e+02
7.296441281138790202e+01,2.517081850533807881e+02,2.196856187290970013e+02,1.811772575250836042e+02
7.335198135198133684e+01,2.516305361305361146e+02,2.197090301003344450e+02,1.811549609810479353e+02
7.328051643192488029e+01,2.516279342723004504e+02,2.194813559322033996e+02,1.812372881355932179e+02
7.265959952885746986e+01,2.521802120141342698e+02,2.189303652968036431e+02,1.813173515981735022e+02
7.290034364261168776e+01,2.522943871706758046e+02,2.190279642058165450e+02,1.813758389261745094e+02
7.290034364261168776e+01,2.522943871706758046e+02,2.190279642058165450e+02,1.813758389261745094e+02
7.288659793814433385e+01,2.523012600229094744e+02,2.189608501118568142e+02,1.813691275167785193e+02
7.275563063063061975e+01,2.522984234234234009e+02,2.188406779661017083e+02,1.813502824858756810e+02
7.264227642276422614e+01,2.522357723577235333e+02,2.187188208616779832e+02,1.814081632653061149e+02
7.287197231833910394e+01,2.521822376009226900e+02,2.187789351851851620e+02,1.814606481481481524e+02
7.269624573378840182e+01,2.522207053469851701e+02,2.187789351851851620e+02,1.814606481481481524e+02
7.296428571428570820e+01,2.518952380952380565e+02,2.186200227531285520e+02,1.812468714448236540e+02
7.262168396770472611e+01,2.520357554786620256e+02,2.186309523809523796e+02,1.811047619047618866e+02
7.266666666666665719e+01,2.516701509872241331e+02,2.186886574074073906e+02,1.807349537037036953e+02
7.292579075425790336e+01,2.515863746958637250e+02,2.189840182648401594e+02,1.808025114155250890e+02
7.297924297924296866e+01,2.515677655677655764e+02,2.190321839080459654e+02,1.807908045977011398e+02
7.308241082410823708e+01,2.515325953259532525e+02,2.190321839080459654e+02,1.807908045977011398e+02
7.303971119133574064e+01,2.515066185318892735e+02,2.191894736842105260e+02,1.809532163742690045e+02
7.271666666666665435e+01,2.516178571428571331e+02,2.188281068524970863e+02,1.809233449477351883e+02
7.237024608501117484e+01,2.519194630872483174e+02,2.189469434832756463e+02,1.809411764705882320e+02
7.264846416382252414e+01,2.519408418657565107e+02,2.188444444444444343e+02,1.809871345029239649e+02
7.273085585585585022e+01,2.521768018018017870e+02,2.187664399092970484e+02,1.813072562358276514e+02
7.281235431235430156e+01,2.522564102564102484e+02,2.188668903803131798e+02,1.813523489932885866e+02
7.238443670150986975e+01,2.527793263646921957e+02,2.190736961451246998e+02,1.813730158730158735e+02
7.274882629107980847e+01,2.528204225352112644e+02,2.187247386759581786e+02,1.814111498257839798e+02
7.295923261390886694e+01,2.527422062350119631e+02,2.185841924398625338e+02,1.813711340206185696e+02
7.291240875912409081e+01,2.527785888077858658e+02,2.185153583617747302e+02,1.813412969283276368e+02
7.278985507246376585e+01,2.528055555555555429e+02,2.185153583617747302e+02,1.813412969283276368e+02
7.280455635491605904e+01,2.526990407673860659e+02,2.185023148148148096e+02,1.814710648148148096e+02
7.296539792387542889e+01,2.526435986159169431e+02,2.187727797001153363e+02,1.814475201845444019e+02
7.312172923777018241e+01,2.526131968145619737e+02,2.187601760176017365e+02,1.811958195819581761e+02
7.319816723940434144e+01,2.526002290950744111e+02,2.188471760797342256e+02,1.810044296788482541e+02
