# x1,y1,x2,y2
4.675941230486684219e+01,1.692653810835628860e+02,5.065375982042648673e+01,1.103260381593714925e+02
4.688591800356505956e+01,1.692959001782531061e+02,5.075638841567291593e+01,1.100647359454855234e+02
4.684205693296601680e+01,1.691928374655647360e+02,5.085834738617200657e+01,1.098414839797639075e+02
4.678981481481481097e+01,1.689453703703703695e+02,5.088480801335559534e+01,1.098430717863105173e+02
4.662862318840579690e+01,1.691884057971014386e+02,5.081823174080175676e+01,1.095683690280065861e+02
4.698430286241920584e+01,1.694496768236380149e+02,5.126897689768976818e+01,1.093883388338833811e+02
4.683287920072660881e+01,1.690944595821979988e+02,5.156859410430838864e+01,1.094058956916099703e+02
4.691379310344827758e+01,1.690181992337164729e+02,5.152349364289662503e+01,1.092454394693200612e+02
4.685714285714285410e+01,1.689923809523809268e+02,5.152508361204013454e+01,1.089944258639910828e+02
4.686203703703703383e+01,1.692787037037036839e+02,5.155333333333333456e+01,1.089327777777777726e+02
4.663070942662778862e+01,1.687035957240038613e+02,5.171268237934904732e+01,1.088597081930415271e+02
4.677497665732958865e+01,1.689663865546218346e+02,5.174819744869661520e+01,1.084276206322795275e+02
4.686868686868686495e+01,1.691707988980716380e+02,5.170243902439024453e+01,1.084081300813008113e+02
4.686868686868686495e+01,1.691707988980716380e+02,5.179726775956284257e+01,1.085005464480874195e+02
4.687353206865401489e+01,1.689295392953929422e+02,5.178976034858387578e+01,1.085348583877995594e+02
4.683569405099149918e+01,1.687799811142587316e+02,5.179771615008156260e+01,1.080989668297987834e+02
4.698148148148148096e+01,1.690203703703703582e+02,5.195158597662771172e+01,1.080244852531997708e+02
4.694194756554306736e+01,1.689307116104868669e+02,5.192877017250973637e+01,1.080578742348358361e+02
4.723926940639269390e+01,1.693342465753424619e+02,5.200827814569536400e+01,1.075126931567328938e+02
4.716292134831460459e+01,1.691535580524344482e+02,5.197522522522522337e+01,1.075230855855855765e+02
4.694602272727272663e+01,1.687850378787878753e+02,5.189432265317594073e+01,1.074148397976391180e+02
4.711173184357541999e+01,1.690782122905027904e+02,5.186941580756013792e+01,1.072038946162657425e+02
