# x1,y1,x2,y2
2.857426420260095483e+02,5.401232032854209564e+01,2.255018050541516175e+02,6.175330926594463676e+01
2.857426420260095483e+02,5.401232032854209564e+01,2.255018050541516175e+02,6.175330926594463676e+01
2.858919298245613732e+02,5.405894736842105175e+01,2.254688644688644672e+02,6.176068376068375443e+01
2.862469879518072275e+02,5.407362784471217765e+01,2.262863849765257953e+02,6.210328638497652065e+01
2.859544468546637859e+02,5.434996384671004677e+01,2.263309178743961070e+02,6.221497584541062054e+01
2.860077519379844944e+02,5.419309372797744828e+01,2.264226804123711361e+02,6.262542955326460259e+01
2.858399720475192112e+02,5.412368972746331508e+01,2.265412186379928414e+02,6.261529271206689629e+01
2.853994314143567408e+02,5.471570717839374254e+01,2.265438596491227941e+02,6.274502923976607605e+01
2.858548939082819516e+02,5.454962354551676640e+01,2.267340686274509665e+02,6.287622549019607732e+01
2.856801994301993659e+02,5.489031339031338774e+01,2.267602996254681784e+02,6.325717852684143594e+01
2.853937360178970835e+02,5.494481730052199708e+01,2.267350119904076564e+02,6.355875299760191410e+01
2.853325670498084037e+02,5.494712643678160902e+01,2.265756501182032991e+02,6.348108747044916100e+01
2.856556291390728575e+02,5.462104488594554397e+01,2.261767676767676676e+02,6.319191919191918316e+01
2.854714714714714887e+02,5.480330330330329502e+01,2.262717948717948673e+02,6.324102564102562951e+01
2.854476401179940694e+02,5.513421828908553834e+01,2.266446078431372371e+02,6.301838235294117396e+01
2.855197740112993756e+02,5.445692090395479568e+01,2.261611316113161081e+02,6.225338253382533082e+01
2.855970695970695488e+02,5.634285714285714164e+01,2.266718146718146727e+02,6.365894465894464815e+01
2.853059755219582030e+02,5.356371490280777437e+01,2.255234657039711124e+02,6.038507821901323069e+01
2.853496598639455328e+02,5.352108843537414629e+01,2.247038413878562437e+02,6.054770755885996891e+01
2.845340740740740557e+02,5.433703703703702814e+01,2.246961130742049590e+02,6.051590106007066794e+01
2.851884368308351441e+02,5.467880085653104771e+01,2.242536764705882320e+02,6.093259803921567652e+01
2.854056399132321076e+02,5.439479392624728860e+01,2.242666666666666515e+02,6.084150943396226552e+01
2.858153428377460727e+02,5.445078071961982147e+01,2.233439716312056760e+02,6.041962174940898223e+01
2.861704467353951600e+02,5.413539518900343239e+01,2.235243445692883881e+02,6.044444444444444287e+01
2.861038596491227395e+02,5.460561403508771150e+01,2.232814526588845467e+02,6.040856031128404879e+01
2.860672328379334317e+02,5.458811040339702458e+01,2.232962962962963047e+02,6.045555555555555571e+01
2.862962184873949809e+02,5.446778711484593316e+01,2.226450060168471623e+02,6.026835138387484392e+01
2.867613168724279831e+02,5.408779149519889984e+01,2.226536643026004469e+02,6.038297872340425698e+01
2.864513148542998806e+02,5.445842217484008785e+01,2.227404761904761870e+02,6.039999999999999858e+01
2.862883079157588782e+02,5.476978939724037332e+01,2.221098626716604088e+02,6.011735330836454239e+01
2.867466945024356164e+02,5.434794711203896611e+01,2.214334600760456340e+02,6.007224334600760329e+01
2.866869322152340942e+02,5.441020265548566925e+01,2.215431145431145410e+02,6.012355212355212331e+01
2.868740888005301599e+02,5.458250497017892400e+01,2.214583333333333144e+02,6.011067708333332860e+01
2.872771241830064923e+02,5.435882352941176521e+01,2.214583333333333144e+02,6.011067708333332860e+01
2.873299866131191038e+02,5.434404283801873703e+01,2.215503267973855941e+02,6.008627450980392126e+01
2.874838935574229026e+02,5.419607843137254832e+01,2.216743886743886662e+02,5.990090090090089348e+01
2.874269741439552490e+02,5.421174004192872076e+01,2.210750307503074907e+02,5.981426814268142778e+01
2.873241525423728717e+02,5.425211864406779938e+01,2.212189054726368056e+02,5.980223880597014841e+01
2.873270833333333485e+02,5.433611111111110858e+01,2.212189054726368056e+02,5.980223880597014841e+01
2.873837953091684199e+02,5.527363184079601410e+01,2.213190476190476090e+02,6.005357142857143060e+01
2.874081336238198787e+02,5.527814088598401554e+01,2.210579150579150678e+02,5.972200772200772434e+01
2.873505509641873346e+02,5.533953168044077131e+01,2.212104575163398579e+02,5.973986928104574901e+01
2.877161512027490744e+02,5.545292096219930755e+01,2.209987129987129890e+02,5.968983268983268431e+01
2.877896233120113152e+02,5.584790334044065219e+01,2.207798982188294872e+02,5.982569974554706960e+01
2.876799440950384223e+02,5.652760307477288393e+01,2.203125000000000000e+02,6.003776041666666430e+01
2.877680228408279390e+02,5.682655246252676307e+01,2.198521400778210193e+02,6.004539559014266814e+01
2.878445408532176089e+02,5.674114244396239570e+01,2.198521400778210193e+02,6.004539559014266814e+01
2.876048850574712219e+02,5.746623563218390274e+01,2.193211382113821060e+02,6.007994579945799529e+01
2.874936170212765774e+02,5.775319148936170421e+01,2.188991935483871032e+02,6.007123655913978411e+01
2.873847251962883433e+02,5.826623840114204000e+01,2.177054263565891574e+02,5.999612403100775282e+01
2.872787356321838388e+02,5.871336206896551602e+01,2.170327044025157193e+02,6.000251572327043448e+01
2.874567375886524587e+02,5.851560283687943098e+01,2.167345679012345556e+02,5.998888888888888715e+01
2.875615491009681932e+02,5.852351313969570867e+01,2.161666666666666572e+02,5.992650918635170143e+01
2.875683848797250448e+02,5.871958762886598038e+01,2.158228346456693032e+02,6.004199475065616554e+01
2.874312455003599780e+02,5.914182865370769804e+01,2.148672199170124486e+02,6.000414937759336453e+01
2.873835810332625442e+02,5.920099079971691225e+01,2.146918990703851193e+02,5.997211155378486325e+01
2.873925767309064554e+02,5.928765167737330444e+01,2.146918990703851193e+02,5.997211155378486325e+01
2.872724699221514015e+02,5.965746638358103127e+01,2.148282051282050986e+02,6.026923076923076650e+01
2.872724699221514015e+02,5.965746638358103127e+01,2.148404669260700359e+02,6.022438391699091653e+01
2.867624269005847850e+02,6.101096491228069851e+01,2.147104247104247179e+02,6.061261261261260813e+01
2.861093750000000000e+02,6.200297619047618980e+01,2.148871595330739410e+02,6.070298313878080165e+01
2.861093750000000000e+02,6.200297619047618980e+01,2.148398950131233391e+02,6.071259842519685179e+01
2.858374999999999773e+02,6.255624999999999858e+01,2.145376344086021447e+02,6.071774193548387188e+01
2.858782731776362311e+02,6.290021231422505110e+01,2.147892720306513468e+02,6.098978288633460920e+01
2.857365145228215511e+02,6.321715076071922113e+01,2.149195402298850581e+02,6.146360153256704706e+01
2.854142053445850706e+02,6.324120956399437432e+01,2.150330687830687566e+02,6.164417989417989219e+01
2.848225574712643606e+02,6.421982758620688969e+01,2.151731770833333144e+02,6.165755208333332860e+01
2.849434092477570744e+02,6.380745341614906607e+01,2.148292349726775683e+02,6.169808743169398468e+01
2.848677800974251682e+02,6.395407098121085454e+01,2.149037940379403722e+02,6.173712737127370787e+01
2.845328947368420813e+02,6.459868421052631504e+01,2.145497512437810883e+02,6.192661691542288338e+01
2.847637401855816961e+02,6.429693076374017835e+01,2.146027568922305591e+02,6.202255639097744222e+01
2.847800687285222807e+02,6.444467353951890232e+01,2.146027568922305591e+02,6.202255639097744222e+01
2.848922413793103487e+02,6.442456896551723844e+01,2.144987654320987644e+02,6.209506172839505211e+01
2.847363834422657760e+02,6.447276688453159466e+01,2.146056166056165750e+02,6.219047619047618980e+01
2.844957081545064170e+02,6.464449213161658747e+01,2.148423236514522898e+02,6.239834024896265419e+01
2.846371308016877606e+02,6.457243319268636128e+01,2.155830115830115972e+02,6.283655083655083473e+01
2.846467661691542048e+02,6.464108031272209587e+01,2.153746770025839794e+02,6.273643410852713487e+01
2.846467661691542048e+02,6.464108031272209587e+01,2.153746770025839794e+02,6.273643410852713487e+01
2.846136200716845224e+02,6.463799283154121156e+01,2.158351648351648464e+02,6.299145299145298083e+01
2.846061253561253466e+02,6.509259259259259522e+01,2.164979423868312836e+02,6.334842249657064173e+01
2.845524222704265753e+02,6.525596529284165115e+01,2.163357843137254690e+02,6.335294117647058698e+01
2.846973590292648169e+02,6.524839400428265890e+01,2.162885572139303179e+02,6.338805970149253710e+01
2.847102069950035457e+02,6.522269807280514442e+01,2.164483985765124601e+02,6.358600237247923559e+01
2.847119252873562800e+02,6.527227011494252906e+01,2.164799999999999898e+02,6.371878787878787165e+01
2.847437499999999773e+02,6.521250000000000568e+01,2.178481182795698601e+02,6.466532258064516725e+01
2.846105111591072614e+02,6.512670986321093380e+01,2.186396396396396256e+02,6.496010296010294383e+01
2.845894660894660433e+02,6.516738816738816809e+01,2.184292929292928989e+02,6.487121212121212466e+01
2.845498207885304396e+02,6.525161290322580498e+01,2.184292929292928989e+02,6.487121212121212466e+01
2.847427766032416798e+02,6.508668076109935896e+01,2.184292929292928989e+02,6.487121212121212466e+01
2.848974895397489604e+02,6.477894002789399508e+01,2.183504901960784252e+02,6.506862745098038658e+01
2.849406294706723202e+02,6.456723891273247773e+01,2.184228855721392790e+02,6.504726368159202821e+01
2.851199442119943797e+02,6.427894002789399508e+01,2.184228855721392790e+02,6.504726368159202821e+01
2.851073684210526267e+02,6.419368421052631390e+01,2.187460890493381385e+02,6.511913357400722191e+01
2.850210884353741108e+02,6.464149659863944919e+01,2.187460890493381385e+02,6.511913357400722191e+01
2.849652638610554050e+02,6.507548430193720890e+01,2.191383647798741947e+02,6.498113207547169168e+01
2.849857142857142662e+02,6.496190476190476204e+01,2.191036204744069948e+02,6.495131086142322374e+01
2.845881513204853377e+02,6.561812990720913774e+01,2.192944862155388250e+02,6.499373433583959070e+01
2.846075498575498273e+02,6.557977207977208423e+01,2.193791348600508684e+02,6.504071246819337659e+01
2.845881513204853377e+02,6.561812990720913774e+01,2.199784946236559051e+02,6.531780167264037118e+01
2.845682471264367450e+02,6.633333333333332860e+01,2.207508896797153000e+02,6.554685646500591645e+01
2.846542185338865352e+02,6.623236514522821494e+01,2.202639405204460843e+02,6.556877323420074788e+01
2.847134020618556747e+02,6.611477663230239443e+01,2.202639405204460843e+02,6.556877323420074788e+01
2.846542185338865352e+02,6.623236514522821494e+01,2.202242424242424192e+02,6.578909090909091617e+01
2.846866391184572649e+02,6.618181818181818699e+01,2.201039426523297493e+02,6.632735961768219113e+01
2.845240054869684059e+02,6.653429355281207336e+01,2.199543209876543131e+02,6.679999999999999716e+01
2.845671537926235146e+02,6.653862212943631960e+01,2.198252788104089177e+02,6.686121437422551139e+01
2.846224982746721821e+02,6.645410628019322985e+01,2.198252788104089177e+02,6.686121437422551139e+01
2.845693277310924145e+02,6.657703081232492082e+01,2.194897435897435685e+02,6.704358974358973455e+01
2.844610389610389802e+02,6.653102453102452785e+01,2.195030525030524871e+02,6.736996336996337220e+01
