# x1,y1,x2,y2
2.731869918699186428e+02,2.557839721254355538e+02,3.108267973856209210e+02,1.485947712418300526e+01
2.736712018140589180e+02,2.557868480725623499e+02,3.108374792703150433e+02,1.498009950248756184e+01
2.742717770034843170e+02,2.555540069686411186e+02,3.108267973856209210e+02,1.485947712418300526e+01
2.740830449826989366e+02,2.555882352941176521e+02,3.108267973856209210e+02,1.485947712418300526e+01
2.747442129629629335e+02,2.553379629629629335e+02,3.108867623604465393e+02,1.438596491228070029e+01
2.752160278745644746e+02,2.552357723577235333e+02,3.108597359735973669e+02,1.450165016501649973e+01
2.753087719298245588e+02,2.552198830409356276e+02,3.108597359735973669e+02,1.450165016501649973e+01
2.750682593856655558e+02,2.552138794084186202e+02,3.108597359735973669e+02,1.450165016501649973e+01
2.753900966183574610e+02,2.546352657004830746e+02,3.108589743589743648e+02,1.423878205128205110e+01
2.751142191142190541e+02,2.541818181818181870e+02,3.110455212922173018e+02,1.429662261380322974e+01
2.743310502283104597e+02,2.538869863013698591e+02,3.109724770642201861e+02,1.423700305810397460e+01
2.741626575028636807e+02,2.538373424971362908e+02,3.109724770642201861e+02,1.423700305810397460e+01
2.745112612612612679e+02,2.535945945945945823e+02,3.108846153846153584e+02,1.438782051282051277e+01
2.745754385964912103e+02,2.531707602339180880e+02,3.108689320388349415e+02,1.428478964401294427e+01
2.738602520045818665e+02,2.530355097365406607e+02,3.108840579710144993e+02,1.503864734299516925e+01
2.743730445246690692e+02,2.530553549939831441e+02,3.108155339805825292e+02,1.504207119741100307e+01
2.743730445246690692e+02,2.530553549939831441e+02,3.108155339805825292e+02,1.504207119741100307e+01
2.746350364963503807e+02,2.533625304136252794e+02,3.109269841269841095e+02,1.503015873015872828e+01
2.746350364963503807e+02,2.533625304136252794e+02,3.109269841269841095e+02,1.503015873015872828e+01
2.750158730158730123e+02,2.536727716727716313e+02,3.108405797101449366e+02,1.425603864734299542e+01
2.755271867612293022e+02,2.535874704491725424e+02,3.109795597484276186e+02,1.448427672955974721e+01
2.755661938534278761e+02,2.535484633569739685e+02,3.109795597484276186e+02,1.448427672955974721e+01
2.755882352941176237e+02,2.536816608996539912e+02,3.110169753086419178e+02,1.454475308641975317e+01
2.764543209876542846e+02,2.535037037037037067e+02,3.110169753086419178e+02,1.454475308641975317e+01
2.765970695970696056e+02,2.532136752136752023e+02,3.109503875968991906e+02,1.446976744186046560e+01
2.766494464944649394e+02,2.531537515375153475e+02,3.109649923896499217e+02,1.436529680365296890e+01
2.767266187050359463e+02,2.531702637889688106e+02,3.109593114241001217e+02,1.432550860719874741e+01
2.767393939393939490e+02,2.531624242424242084e+02,3.109541284403669579e+02,1.448470948012232284e+01
2.762274939172748986e+02,2.532785888077858658e+02,3.109144144144144093e+02,1.420120120120120077e+01
2.761387900355871921e+02,2.530771055753261862e+02,3.109528301886792292e+02,1.394496855345911790e+01
2.755734767025089695e+02,2.531135005973715408e+02,3.109303030303029800e+02,1.444393939393939341e+01
2.755154761904761926e+02,2.531250000000000000e+02,3.109663608562690911e+02,1.451681957186544203e+01
2.756295005807200482e+02,2.529639953542392163e+02,3.109786910197868792e+02,1.457077625570776291e+01
2.756295005807200482e+02,2.529639953542392163e+02,3.109310897435897232e+02,1.479647435897435770e+01
2.763680297397769436e+02,2.524522924411400027e+02,3.107896440129449616e+02,1.494012944983818691e+01
2.766432098765431533e+02,2.524629629629629619e+02,3.106945812807881566e+02,1.480295566502462989e+01
2.753872901678656717e+02,2.528285371702637576e+02,3.107475247524752717e+02,1.480528052805280481e+01
2.761450292397660746e+02,2.530690058479531785e+02,3.107156862745097783e+02,1.479738562091503162e+01
2.759860627177700394e+02,2.533321718931474891e+02,3.107572815533980588e+02,1.471035598705501535e+01
2.768020050125313105e+02,2.532155388471177844e+02,3.110166666666665947e+02,1.445757575757575708e+01
2.769498746867167824e+02,2.535187969924812137e+02,3.109657320872273658e+02,1.461838006230529530e+01
2.769948717948717558e+02,2.534961538461538453e+02,3.109365079365079509e+02,1.455396825396825200e+01
2.759050925925925526e+02,2.539618055555555429e+02,3.109837037037036680e+02,1.429333333333333300e+01
2.763606168446025890e+02,2.538090154211150491e+02,3.109806547619047024e+02,1.433333333333333215e+01
2.766039488966318345e+02,2.535296167247386734e+02,3.107957957957957547e+02,1.457957957957957973e+01
2.764804270462633440e+02,2.532028469750889599e+02,3.109382716049382225e+02,1.471141975308641925e+01
2.765082742316784561e+02,2.528640661938534038e+02,3.108759342301942752e+02,1.483408071748878854e+01
2.758531889290011918e+02,2.529037304452466799e+02,3.109883551673944453e+02,1.516157205240174655e+01
2.759132075471698045e+02,2.528893081761005988e+02,3.109554531490015279e+02,1.462211981566820285e+01
2.753441247002397745e+02,2.527589928057553834e+02,3.109065550906554449e+02,1.482426778242677834e+01
2.749878345498783005e+02,2.526423357664233436e+02,3.110497925311203176e+02,1.492531120331950234e+01
2.749727626459143721e+02,2.522814526588845467e+02,3.111018131101812969e+02,1.528870292887029336e+01
2.749770114942528494e+02,2.520766283524904168e+02,3.110181311018130828e+02,1.496234309623431002e+01
2.745475285171102655e+02,2.519936628643852714e+02,3.111056241426611564e+02,1.529629629629629584e+01
2.754415422885571729e+02,2.514067164179104452e+02,3.110217113665389093e+02,1.592464878671775175e+01
2.744160756501181595e+02,2.516536643026004469e+02,3.111049136786188569e+02,1.578353253652058363e+01
2.743141486810551442e+02,2.515863309352517945e+02,3.111583333333333599e+02,1.613888888888888928e+01
2.739988545246276885e+02,2.516426116838487985e+02,3.110509461426491384e+02,1.546579330422125054e+01
2.737958477508650503e+02,2.517370242214532823e+02,3.110921985815602397e+02,1.539007092198581539e+01
2.747479091995220415e+02,2.516356033452807424e+02,3.113276108726752227e+02,1.525321888412017124e+01
2.749604938271604624e+02,2.519333333333333371e+02,3.115988700564971623e+02,1.564689265536723184e+01
2.746441947565543273e+02,2.518364544319600213e+02,3.116480686695279019e+02,1.537768240343347692e+01
2.739215686274509380e+02,2.515894607843137010e+02,3.116480686695279019e+02,1.537768240343347692e+01
2.741596244131455364e+02,2.512147887323943678e+02,3.116550218340611309e+02,1.520524017467248967e+01
2.734632768361581725e+02,2.508338983050847446e+02,3.113918128654970587e+02,1.524853801169590639e+01
2.730413870246084684e+02,2.503221476510067021e+02,3.114449404761904248e+02,1.517261904761904745e+01
2.732775919732441707e+02,2.500401337792642096e+02,3.113852201257861338e+02,1.478616352201257733e+01
2.728949771689497652e+02,2.495662100456620749e+02,3.113852201257861338e+02,1.478616352201257733e+01
2.727360178970916991e+02,2.490212527964205549e+02,3.114143302180684714e+02,1.477881619937694602e+01
2.722066210045662160e+02,2.487842465753424790e+02,3.114545454545454390e+02,1.528333333333333144e+01
2.721794871794871824e+02,2.484615384615384528e+02,3.114423676012460760e+02,1.534735202492211670e+01
2.727946009389671076e+02,2.479906103286384678e+02,3.114229559748426936e+02,1.523742138364779741e+01
2.726737089201877779e+02,2.477969483568074907e+02,3.114637037037036862e+02,1.529629629629629584e+01
2.731748826291079695e+02,2.470774647887323852e+02,3.114637037037036862e+02,1.529629629629629584e+01
2.738648648648648418e+02,2.463175675675675791e+02,3.113030303030302548e+02,1.523333333333333250e+01
2.738748615725359628e+02,2.463222591362126366e+02,3.114330218068535601e+02,1.559034267912772442e+01
2.744130675526023992e+02,2.458704318936877087e+02,3.113746031746031804e+02,1.540158730158730016e+01
2.755870307167235751e+02,2.451922639362912264e+02,3.114025157232704260e+02,1.550157232704402333e+01
2.763187429854096422e+02,2.446621773288439670e+02,3.113746031746031804e+02,1.540158730158730016e+01
2.767087599544937007e+02,2.444004550625710976e+02,3.115396825396824738e+02,1.552236652236652148e+01
2.772179930795848009e+02,2.440553633217993195e+02,3.115429403202329013e+02,1.551819505094614193e+01
2.774296788482834586e+02,2.436522702104097391e+02,3.115154185022026354e+02,1.539941262848751791e+01
2.775519125683060224e+02,2.434885245901639337e+02,3.115941422594142409e+02,1.535146443514644332e+01
2.774366666666666674e+02,2.430888888888888459e+02,3.115088495575221259e+02,1.489675516224188812e+01
2.774803240740740762e+02,2.424872685185185048e+02,3.116334776334776393e+02,1.488744588744588704e+01
2.775063001145475141e+02,2.417697594501718186e+02,3.115036075036074976e+02,1.506060606060606055e+01
2.774410774410774252e+02,2.412547699214365480e+02,3.115728715728715770e+02,1.491341991341991324e+01
2.772137049941927671e+02,2.411358885017421585e+02,3.115728715728715770e+02,1.491341991341991324e+01
2.771452145214521465e+02,2.401936193619361575e+02,3.113750000000000000e+02,1.524404761904761862e+01
2.774489795918367463e+02,2.393356009070294590e+02,3.112503840245775564e+02,1.481566820276497687e+01
2.774766558089033310e+02,2.389706840390879563e+02,3.112085235920852142e+02,1.476560121765601075e+01
2.776239907727796776e+02,2.386113033448673377e+02,3.112003129890453579e+02,1.469327073552425666e+01
2.775730211817167969e+02,2.381806020066889573e+02,3.112685624012637504e+02,1.485624012638230518e+01
2.776677927927927385e+02,2.381137387387387037e+02,3.112685624012637504e+02,1.485624012638230518e+01
2.781660818713449999e+02,2.376631578947368553e+02,3.113956386292834395e+02,1.489875389408099515e+01
2.784509090909090787e+02,2.374387878787878776e+02,3.115169753086419178e+02,1.507716049382715973e+01
2.783321470937129334e+02,2.377532621589560620e+02,3.115969696969696656e+02,1.535606060606060552e+01
2.784227642276422330e+02,2.377340301974448096e+02,3.116076696165191606e+02,1.535988200589970454e+01
2.785269186712485521e+02,2.375498281786941561e+02,3.115969696969696656e+02,1.535606060606060552e+01
2.794157706093189972e+02,2.367729988052568331e+02,3.116045883940620342e+02,1.499595141700404888e+01
2.797978339350180477e+02,2.367388688327316117e+02,3.115970370370370119e+02,1.486222222222222200e+01
2.798678787878787375e+02,2.366812121212120985e+02,3.115970370370370119e+02,1.486222222222222200e+01
2.792229806598406867e+02,2.369078498293515338e+02,3.115970370370370119e+02,1.486222222222222200e+01
2.791412037037036953e+02,2.365254629629629335e+02,3.115765379113018412e+02,1.508154506437768205e+01
2.797326266195523772e+02,2.353651354534746645e+02,3.115312024353120250e+02,1.476255707762557101e+01
2.790971709717097156e+02,2.353862238622386087e+02,3.114854070660522325e+02,1.500000000000000000e+01
2.787142857142857224e+02,2.351595238095237619e+02,3.115082956259426510e+02,1.501357466063348411e+01
2.782034482758620584e+02,2.350160919540229543e+02,3.115253456221198007e+02,1.482949308755760320e+01
2.782165532879818102e+02,2.345045351473922608e+02,3.114617604617604343e+02,1.496536796536796565e+01
2.779253910950661748e+02,2.342551143200962542e+02,3.115659259259259102e+02,1.534518518518518526e+01
2.782199546485260271e+02,2.337630385487528315e+02,3.115837037037036907e+02,1.556740740740740669e+01
2.782966781214203706e+02,2.336426116838487985e+02,3.115530303030302548e+02,1.541060606060605842e+01
2.782966781214203706e+02,2.336426116838487985e+02,3.115530303030302548e+02,1.541060606060605842e+01
2.782966781214203706e+02,2.336426116838487985e+02,3.115530303030302548e+02,1.541060606060605842e+01
2.785106382978723332e+02,2.334349881796690056e+02,3.116473214285714448e+02,1.568452380952380842e+01
2.786872852233677236e+02,2.335154639175257785e+02,3.115968992248061795e+02,1.537984496124030898e+01
2.789098173515981216e+02,2.335079908675799061e+02,3.115677321156773019e+02,1.546423135464231358e+01
2.790113378684807230e+02,2.336938775510204209e+02,3.115968992248061795e+02,1.537984496124030898e+01
2.787203579418344361e+02,2.341856823266219010e+02,3.115772005772005286e+02,1.502164502164502125e+01
2.790669014084506898e+02,2.337406103286384678e+02,3.115440956651718807e+02,1.450224215246636739e+01
2.793286713286713052e+02,2.335827505827505490e+02,3.115555555555555429e+02,1.459307359307359242e+01
2.792053056516724041e+02,2.336955017301038140e+02,3.115555555555555429e+02,1.459307359307359242e+01
2.791126279863481159e+02,2.333845278725824528e+02,3.115207439198855468e+02,1.457081545064377615e+01
2.791374458874458924e+02,2.330162337662337677e+02,3.115555555555555429e+02,1.459307359307359242e+01
2.795216852540272612e+02,2.320247831474597149e+02,3.114678624813153647e+02,1.426457399103139068e+01
2.790455635491606472e+02,2.321187050359712316e+02,3.115560407569141148e+02,1.465938864628821037e+01
2.790000000000000000e+02,2.314970963995353941e+02,3.115560407569141148e+02,1.465938864628821037e+01
2.788782505910165241e+02,2.314089834515366135e+02,3.115560407569141148e+02,1.465938864628821037e+01
2.786713947990543829e+02,2.313333333333333428e+02,3.115560407569141148e+02,1.465938864628821037e+01
2.783756038647342734e+02,2.309698067632850211e+02,3.115652777777777374e+02,1.504027777777777786e+01
2.783866666666666561e+02,2.311133333333333439e+02,3.115560407569141148e+02,1.461572052401746724e+01
2.786130136986301409e+02,2.308595890410958873e+02,3.115205673758865146e+02,1.475319148936170244e+01
2.780241379310344882e+02,2.312022988505746923e+02,3.114283559577676783e+02,1.476168929110105488e+01
2.779374288964732500e+02,2.312946530147895032e+02,3.114283559577676783e+02,1.476168929110105488e+01
2.785318892900120318e+02,2.311083032490974745e+02,3.114515669515669174e+02,1.494729344729344689e+01
2.791997593261131101e+02,2.309891696750902668e+02,3.114748858447488828e+02,1.471689497716895012e+01
2.791997593261131101e+02,2.309891696750902668e+02,3.115069124423962990e+02,1.479262672811059964e+01
2.789764428739693471e+02,2.314193168433451149e+02,3.115069124423962990e+02,1.479262672811059964e+01
2.789764428739693471e+02,2.314193168433451149e+02,3.115075075075074551e+02,1.428978978978978809e+01
2.788621468926553462e+02,2.318237288135593133e+02,3.115406162464985869e+02,1.430392156862744990e+01
2.789849537037036953e+02,2.316747685185185048e+02,3.114727011494252338e+02,1.438074712643678055e+01
2.789651567944250701e+02,2.315005807200928700e+02,3.114727011494252338e+02,1.438074712643678055e+01
2.788513189448440812e+02,2.312853717026378604e+02,3.114355555555555384e+02,1.460444444444444478e+01
2.785227021040974478e+02,2.309966777408637881e+02,3.114355555555555384e+02,1.460444444444444478e+01
2.783934040047113854e+02,2.302603062426383929e+02,3.114646464646464210e+02,1.519336219336219251e+01
2.782464285714285666e+02,2.302190476190476147e+02,3.114193061840120436e+02,1.493061840120663497e+01
2.779333333333333371e+02,2.303169811320754832e+02,3.113886397608370089e+02,1.496412556053811649e+01
2.776715867158671358e+02,2.304231242312422978e+02,3.113886397608370089e+02,1.496412556053811649e+01
