# x1,y1,x2,y2
2.410551111111110743e+02,2.222773333333333312e+02,2.956580829756795197e+02,9.674678111587982698e+01
2.408017777777777439e+02,2.202355555555555497e+02,2.964083333333333599e+02,9.593611111111110290e+01
2.409636693914622754e+02,2.193796548592188742e+02,2.971422764227642119e+02,9.483875338753387041e+01
2.407164750957854267e+02,2.172509578544061242e+02,2.985606060606060055e+02,9.345179063360880889e+01
2.402336265884652562e+02,2.160615835777126108e+02,2.993205673758865260e+02,9.254468085106383057e+01
2.399358974358974024e+02,2.146767399267399128e+02,2.996937669376693520e+02,9.163414634146342053e+01
2.394902506963788369e+02,2.134531104921076690e+02,2.998457300275481430e+02,9.101652892561983776e+01
2.388180952380952249e+02,2.127980952380952147e+02,3.001405622489959910e+02,9.018741633199464047e+01
2.382402659069325637e+02,2.118319088319088337e+02,3.001160058737150962e+02,8.992951541850220565e+01
2.378009389671361475e+02,2.110845070422535343e+02,3.003074712643677913e+02,8.969827586206896797e+01
2.373863636363636260e+02,2.099611742424242209e+02,3.001530054644808274e+02,8.930737704918033160e+01
2.370496254681647770e+02,2.095880149812734032e+02,3.003433908045976750e+02,8.890229885057470938e+01
2.361686507936507553e+02,2.087023809523809632e+02,3.004270833333333144e+02,8.823809523809522659e+01
2.355799614643545112e+02,2.080944123314065166e+02,3.007207977207976910e+02,8.765527065527065531e+01
2.351902071563088441e+02,2.080348399246704219e+02,3.006803652968036431e+02,8.707001522070014232e+01
2.347075023741690245e+02,2.074102564102564088e+02,3.007590187590187156e+02,8.659163059163057596e+01
2.346232686980609401e+02,2.071763619575253585e+02,3.006276276276275894e+02,8.615015015015013944e+01
2.342263610315186213e+02,2.060391595033428587e+02,3.007120567375886253e+02,8.565248226950353683e+01
2.336725317693059480e+02,2.051221896383186447e+02,3.009462809917355344e+02,8.493388429752066315e+01
2.334220272904483409e+02,2.052709551656919871e+02,3.011762962962962433e+02,8.429333333333333655e+01
2.330748299319727721e+02,2.045471331389698548e+02,3.014110169491525539e+02,8.394774011299433880e+01
2.326195856873822834e+02,2.035922787193973420e+02,3.014467213114754145e+02,8.351912568306009632e+01
2.321453703703703582e+02,2.026796296296296021e+02,3.014435374149659310e+02,8.325442176870747346e+01
2.310340909090909065e+02,2.011070075757575353e+02,3.018797101449275146e+02,8.225217391304347814e+01
2.290628571428571547e+02,1.983923809523809325e+02,3.019089574155653395e+02,8.149926578560939561e+01
2.275746478873239482e+02,1.957079812206572740e+02,3.018311499272197693e+02,8.142358078602620708e+01
2.261570776255707642e+02,1.944529680365296542e+02,3.017916666666666288e+02,8.078735632183907001e+01
2.238089990817263413e+02,1.918053259871441583e+02,3.014906542056074841e+02,8.037850467289719347e+01
2.219669582118561380e+02,1.892021379980563438e+02,3.011309523809523512e+02,7.968750000000000000e+01
