# x1,y1,x2,y2
2.309230769230769340e+02,2.663688362919131691e+02,1.944403292181069958e+02,1.324032921810699577e+02
2.309230769230769340e+02,2.663688362919131691e+02,1.945031055900621197e+02,1.323188405797101268e+02
2.314257028112449746e+02,2.663895582329317335e+02,1.947454739084132029e+02,1.324984025559105305e+02
2.315999999999999943e+02,2.662607843137254804e+02,1.948042328042327824e+02,1.321111111111111143e+02
2.315999999999999943e+02,2.662607843137254804e+02,1.948121606948968463e+02,1.317372421281215793e+02
2.321785714285714164e+02,2.659265873015872899e+02,1.950165016501650257e+02,1.320924092409240984e+02
2.324923371647509498e+02,2.659693486590037992e+02,1.949882100750267853e+02,1.316120042872454405e+02
2.326779026217228363e+02,2.660674157303370748e+02,1.950562500000000057e+02,1.313874999999999886e+02
2.326769547325102678e+02,2.656234567901234414e+02,1.953536324786324769e+02,1.314348290598290419e+02
nan,nan,1.950686868686868536e+02,1.307202020202020094e+02
2.330100401606425464e+02,2.658614457831325240e+02,1.951827309236947769e+02,1.311887550200803219e+02
nan,nan,1.951375502008032186e+02,1.312158634538152455e+02
2.337005649717514189e+02,2.662165725047080969e+02,1.952455555555555406e+02,1.315677777777777635e+02
2.326476190476190311e+02,2.655885714285714130e+02,1.948458458458458438e+02,1.307267267267267243e+02
2.325823529411764810e+02,2.655078431372548948e+02,1.949409937888198669e+02,1.310300207039337295e+02
2.329825581395348877e+02,2.657015503875969102e+02,1.949000000000000057e+02,1.311171717171717148e+02
2.327652859960552121e+02,2.655897435897435912e+02,1.946626384692849854e+02,1.313091641490432835e+02
2.329017341040462554e+02,2.655799614643544828e+02,1.946560386473429674e+02,1.315623188405797066e+02
2.333901515151515014e+02,2.659034090909090651e+02,1.946821256038647334e+02,1.314434782608695684e+02
2.335193370165745819e+02,2.659263351749539197e+02,1.947661691542288622e+02,1.314567164179104566e+02
2.334745762711864359e+02,2.659924670433144911e+02,1.948005780346820757e+02,1.317495183044315752e+02
2.338479532163742647e+02,2.659103313840155920e+02,1.950160160160160103e+02,1.320070070070069903e+02
2.343199233716474907e+02,2.658888888888888573e+02,1.951681681681681653e+02,1.320270270270270316e+02
2.340473372781065109e+02,2.654457593688362635e+02,1.954086345381525973e+02,1.325612449799196781e+02
2.345522682445759131e+02,2.656094674556213135e+02,1.953201621073961292e+02,1.321995947315096203e+02
