# x1,y1,x2,y2
2.775880861850443466e+02,1.901812420785804818e+02,2.728437067773166973e+02,8.376348547717842052e+01
2.776624293785310442e+02,1.898064971751412315e+02,2.733559096945550664e+02,8.493625498007968133e+01
2.774807436918990220e+02,1.900544488711819326e+02,2.734166666666666856e+02,8.544861111111110574e+01
2.774639999999999986e+02,1.900933333333333053e+02,2.735403817914831279e+02,8.805726872246695791e+01
2.775820105820105255e+02,1.896494708994708844e+02,2.734017467248908133e+02,9.003056768558951717e+01
2.777786666666666520e+02,1.895546666666666624e+02,2.731618655692729476e+02,9.240329218106995768e+01
2.778382559774964307e+02,1.893713080168776344e+02,2.729957805907172883e+02,9.395358649789029926e+01
2.776392496392496128e+02,1.890577200577200472e+02,2.728363095238095184e+02,9.632440476190474499e+01
2.774513888888888573e+02,1.893944444444444457e+02,2.728128654970760181e+02,9.822222222222221433e+01
2.774113475177304622e+02,1.892425531914893497e+02,2.727625368731563071e+02,9.978023598820058737e+01
2.772887029288702934e+02,1.893138075313807462e+02,2.723477011494252906e+02,1.010962643678160902e+02
2.773160919540229656e+02,1.890244252873563084e+02,2.720597609561752961e+02,1.019362549800796813e+02
2.771221264367815706e+02,1.885445402298850297e+02,2.717156398104265236e+02,1.033902053712480154e+02
2.770715249662617907e+02,1.883846153846153868e+02,2.716481481481481524e+02,1.040493827160493652e+02
2.772213333333332912e+02,1.879146666666666476e+02,2.715214814814814872e+02,1.042444444444444400e+02
2.771450980392156680e+02,1.875607843137254918e+02,2.714563662374820865e+02,1.046237482117310407e+02
2.773306666666666160e+02,1.866306666666666558e+02,2.714453665283540431e+02,1.042780082987551822e+02
2.773079999999999927e+02,1.858053333333333228e+02,2.715707964601770072e+02,1.059483775811209370e+02
2.772756680731363872e+02,1.855161744022503285e+02,2.716869565217391482e+02,1.061057971014492693e+02
2.772627939142461742e+02,1.849045643153527010e+02,2.715806451612903061e+02,1.062964669738863250e+02
2.777572178477690272e+02,1.842073490813648107e+02,2.716712538226299216e+02,1.059648318042813457e+02
2.783609958506224302e+02,1.835394190871369346e+02,2.713837920489296494e+02,1.063639143730886758e+02
2.783252361673414157e+02,1.829770580296896014e+02,2.712640117994100137e+02,1.066696165191740420e+02
2.783834688346883013e+02,1.822831978319782991e+02,2.712334739803093839e+02,1.070407876230660946e+02
2.782951977401129398e+02,1.818714689265536606e+02,2.711567065073040794e+02,1.067768924302788776e+02
2.782092050209204785e+02,1.812928870292886927e+02,2.709479606188467073e+02,1.067974683544303787e+02
2.784096385542168832e+02,1.804524765729584885e+02,2.704216524216524249e+02,1.071723646723646652e+02
2.784727755644090053e+02,1.802589641434262830e+02,2.697324159021406444e+02,1.080489296636085470e+02
2.786162464985994234e+02,1.797114845938375254e+02,2.685505050505050235e+02,1.061136363636363598e+02
2.800850480109738783e+02,1.872427983539094782e+02,2.659333333333333371e+02,1.123259259259259153e+02
2.818375706214688989e+02,1.794209039548022417e+02,2.648871989860583085e+02,1.029290240811153296e+02
2.830096418732782126e+02,1.824104683195592145e+02,2.606752873563218031e+02,1.049827586206896513e+02
2.832878787878787534e+02,1.794504132231404867e+02,2.572969696969696543e+02,1.015090909090909150e+02
2.832937158469944734e+02,1.794617486338797789e+02,2.523711484593837326e+02,1.006358543417366889e+02
2.832571428571428669e+02,1.795972789115646151e+02,2.487248908296943171e+02,9.975109170305677253e+01
2.832684824902723904e+02,1.791167315175097201e+02,2.449270386266094306e+02,9.924177396280400387e+01
2.835933908045976750e+02,1.782399425287356109e+02,2.413318452380952124e+02,9.931547619047617559e+01
2.837005899705014258e+02,1.783598820058996921e+02,2.385536480686695313e+02,9.965522174535048805e+01
2.837471264367815706e+02,1.786350574712643606e+02,2.351806167400881122e+02,1.002011747430249500e+02
2.837471264367815706e+02,1.786350574712643606e+02,2.334405797101449025e+02,1.005130434782608688e+02
2.837471264367815706e+02,1.786264367816091863e+02,2.303581871345029128e+02,1.009254385964912331e+02
2.838423236514522614e+02,1.785034578146611182e+02,2.279480519480519547e+02,1.014040404040404013e+02
2.837250712250711899e+02,1.786524216524216513e+02,2.253199999999999932e+02,1.021303703703703718e+02
2.833602150537633975e+02,1.792930107526881613e+02,2.237888888888888630e+02,1.024708333333333314e+02
2.831452282157676450e+02,1.795809128630705516e+02,2.216694677871148258e+02,1.028571428571428612e+02
2.829494535519125407e+02,1.796202185792349439e+02,2.191686274509803809e+02,1.033150326797385503e+02
2.829413447782546314e+02,1.797124463519313338e+02,2.167489177489177621e+02,1.037849927849927809e+02
2.827930107526881329e+02,1.801787634408601946e+02,2.143073593073593202e+02,1.043275613275613125e+02
2.827711640211639974e+02,1.799391534391534435e+02,2.129301310043668138e+02,1.048209606986899587e+02
2.825343915343914887e+02,1.804708994708994680e+02,2.115617529880478003e+02,1.051447543160690543e+02
2.826018518518517908e+02,1.803835978835978722e+02,2.092595744680851055e+02,1.056581560283687793e+02
2.824873949579832129e+02,1.800448179271708682e+02,2.076695402298850297e+02,1.060201149425287213e+02
2.825360544217687107e+02,1.801224489795918373e+02,2.056123348017621026e+02,1.065022026431718132e+02
2.825641025641025408e+02,1.800445344129554712e+02,2.044666666666666401e+02,1.069217391304347871e+02
2.825238095238095184e+02,1.799659863945578024e+02,2.029853801169590497e+02,1.070950292397660775e+02
2.824993252361672944e+02,1.800472334682860946e+02,2.016755555555555475e+02,1.073185185185185020e+02
2.826872427983539069e+02,1.799218106995884909e+02,2.000484581497797478e+02,1.074493392070484532e+02
2.827464052287581353e+02,1.800875816993463729e+02,1.989906976744186125e+02,1.077209302325581461e+02
2.828449612403100559e+02,1.799328165374676871e+02,1.987444933920704955e+02,1.080704845814977944e+02
