# x1,y1,x2,y2
2.185855855855855623e+02,8.335649935649935571e+01,3.088910505836576021e+02,3.113437094682230963e+02
2.175619412515964086e+02,8.298467432950191380e+01,3.081227436823104426e+02,3.110998796630565266e+02
2.165225563909774564e+02,8.261027568922305875e+01,3.083965303593556087e+02,3.112788104089219132e+02
2.157067183462532114e+02,8.239793281653746249e+01,3.083695380774032060e+02,3.112921348314606576e+02
2.150540184453227823e+02,8.232542819499340681e+01,3.081734317343173188e+02,3.112164821648216275e+02
2.145270440251572097e+02,8.222264150943395578e+01,3.080842490842491088e+02,3.111599511599511061e+02
2.137403245942571743e+02,8.218102372034955749e+01,3.080664206642066461e+02,3.110541205412053500e+02
2.135576441102756746e+02,8.176566416040098773e+01,3.080085784313725412e+02,3.110232843137254690e+02
2.135508365508365500e+02,8.150579150579150678e+01,3.080085784313725412e+02,3.110232843137254690e+02
2.136717557251908488e+02,8.095292620865139099e+01,3.080975308641974948e+02,3.111308641975308547e+02
2.136758169934640250e+02,8.069411764705881751e+01,3.081140350877192873e+02,3.111403508771929864e+02
2.143042929292928989e+02,8.002525252525251176e+01,3.086329588014981482e+02,3.114057428214731544e+02
2.147272727272727195e+02,7.944191919191918316e+01,3.086497584541062906e+02,3.112282608695651902e+02
2.152157575757575501e+02,7.900484848484848044e+01,3.087765432098764791e+02,3.112888888888888914e+02
2.154865497076023360e+02,7.845263157894736139e+01,3.090379901960783968e+02,3.112536764705882320e+02
2.158504435994930191e+02,7.811533586818757158e+01,3.089937343358395765e+02,3.109473684210526585e+02
2.157535121328224648e+02,7.818518518518517624e+01,3.090064350064349696e+02,3.106589446589446197e+02
2.155842558425584059e+02,7.733333333333332860e+01,3.086325088339222589e+02,3.099552414605417994e+02
2.156042446941323192e+02,7.745443196004993069e+01,3.088437884378843705e+02,3.098474784747847366e+02
2.152333333333333201e+02,7.696543209876541880e+01,3.087151515151514900e+02,3.097478787878787330e+02
2.146217494089834474e+02,7.596217494089833622e+01,3.086507936507936165e+02,3.097606837606837189e+02
2.139828042328042272e+02,7.544179894179893608e+01,3.089145299145298509e+02,3.101050061050060549e+02
2.133768115942029056e+02,7.488285024154588143e+01,3.085049382716049422e+02,3.098037037037037180e+02
2.127358024691357912e+02,7.483209876543209305e+01,3.085808080808080831e+02,3.099204545454545610e+02
