# x1,y1,x2,y2
2.951113821138210938e+02,2.654349593495934982e+02,3.085085271317828983e+02,3.036000000000000227e+02
2.947167919799498463e+02,2.637176274018378876e+02,3.086103703703703331e+02,3.025600000000000023e+02
2.945425347222222285e+02,2.635729166666666856e+02,3.084985994397758873e+02,3.020938375350139609e+02
2.946545138888888573e+02,2.633246527777777715e+02,3.084614325068870357e+02,3.018608815426997012e+02
2.948686616791354709e+02,2.623624272651703677e+02,3.079140271493212708e+02,3.016561085972850833e+02
2.944890061565523069e+02,2.617695690413368084e+02,3.077793650793650500e+02,3.016253968253968196e+02
2.941295336787565020e+02,2.615189982728842892e+02,3.078899224806201573e+02,3.013674418604651351e+02
2.939931093884582083e+02,2.615805340223944881e+02,3.078899224806201573e+02,3.013674418604651351e+02
2.939828620394172844e+02,2.615544130248500210e+02,3.075420420420419987e+02,3.009489489489488960e+02
2.942384488448844877e+02,2.616881188118811679e+02,3.074515669515669174e+02,3.005626780626780032e+02
2.930813008130081130e+02,2.625320686540198380e+02,3.074559884559884608e+02,3.012164502164501982e+02
2.930859106529209726e+02,2.625197594501718186e+02,3.074557522123893705e+02,3.015280235988200275e+02
2.936757877280265348e+02,2.632014925373134133e+02,3.072879499217527268e+02,3.019248826291079695e+02
2.943502008032128288e+02,2.641413654618473856e+02,3.074859259259259261e+02,3.014488888888889164e+02
2.940660225442833848e+02,2.650209339774556838e+02,3.074859259259259261e+02,3.014488888888889164e+02
2.929233333333333462e+02,2.656974999999999909e+02,3.072798165137614887e+02,3.028608562691131283e+02
2.930482026143790790e+02,2.660310457516339397e+02,3.075090090090089916e+02,3.030435435435434783e+02
2.935476772616136714e+02,2.663406682966585208e+02,3.075090090090089916e+02,3.030435435435434783e+02
2.936342254663422295e+02,2.661727493917275069e+02,3.077083333333333144e+02,3.024236111111110858e+02
2.936558603491271811e+02,2.651978387364920877e+02,3.077264957264957275e+02,3.024472934472934185e+02
2.934206549118387670e+02,2.645785054575986237e+02,3.077435897435897232e+02,3.014729344729344120e+02
